symbol,name,sector,market_value,index_weight,amount_shares,isin,country
XOM,EXXON MOBIL CORP,Energy,860861368.04,3.29342,7263427,US30231G1022,United States
CVX,CHEVRON CORP,Energy,814884127.33,3.11753,5171569,US1667641005,United States
MSFT,MICROSOFT CORP,Information Technology,799782298.99,3.05975,1978337,US5949181045,United States
AAPL,APPLE INC,Information Technology,762950188.8,2.91884,4567470,US0378331005,United States
JPM,JPMORGAN CHASE & CO,Financials,733692387.5,2.80691,4047958,US46625H1005,United States
JNJ,JOHNSON & JOHNSON,Health Care,665611631.58,2.54645,4567117,US4781601046,United States
ABBV,ABBVIE INC,Health Care,632217833.1,2.41869,3839535,US00287Y1091,United States
AVGO,BROADCOM INC,Information Technology,582274062.07,2.22762,462493,US11135F1012,United States
PG,PROCTER & GAMBLE,Consumer Staples,554274860.16,2.12051,3523904,US7427181091,United States
MRK,MERCK & CO INC,Health Care,501606385.63,1.91901,4005481,US58933Y1055,United States
PEP,PEPSICO INC,Consumer Staples,466951961.14,1.78643,2710582,US7134481081,United States
HD,HOME DEPOT INC,Consumer Discretionary,465584947.35,1.7812,1398615,US4370761029,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,460520140.86,1.76183,933777,US91324P1021,United States
CME,CME GROUP INC CLASS A,Financials,457715637.05,1.7511,2183237,US12572Q1058,United States
KO,COCA-COLA,Consumer Staples,453315748.96,1.73426,7695056,US1912161007,United States
BAC,BANK OF AMERICA CORP,Financials,422451283.24,1.61618,11810212,US0605051046,United States
CSCO,CISCO SYSTEMS INC,Information Technology,393910872.43,1.507,8187713,US17275R1023,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,356232868.8,1.36285,1963040,US4592001014,United States
NEE,NEXTERA ENERGY INC,Utilities,309104482.03,1.18255,4829003,US65339F1012,United States
AMGN,AMGEN INC,Health Care,290591252.75,1.11172,1105961,US0311621009,United States
MS,MORGAN STANLEY,Financials,288297931.58,1.10295,3194083,US6174464486,United States
MCD,MCDONALDS CORP,Consumer Discretionary,283381399.7,1.08414,1045765,US5801351017,United States
BMY,BRISTOL MYERS SQUIBB,Health Care,280627974.9,1.07361,5810103,US1101221083,United States
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,280231735.68,1.07209,1963232,US9113121068,United States
CMCSA,COMCAST CORP CLASS A,Communication,274392668.2,1.04975,6925610,US20030N1019,United States
LLY,ELI LILLY,Health Care,266931493.95,1.02121,357841,US5324571083,United States
COP,CONOCOPHILLIPS,Energy,266143747.59,1.01819,2082339,US20825C1045,United States
C,CITIGROUP INC,Financials,260579708.64,0.99691,4468102,US1729674242,United States
GS,GOLDMAN SACHS GROUP INC,Financials,233745349.05,0.89425,579855,US38141G1040,United States
RTX,RTX CORP,Industrials,221902701.93,0.84894,2203383,US75513E1010,United States
QCOM,QUALCOMM INC,Information Technology,217512632.32,0.83214,1347328,US7475251036,United States
GILD,GILEAD SCIENCES INC,Health Care,216257919.76,0.82734,3268711,US3755581036,United States
MDT,MEDTRONIC PLC,Health Care,215822525.44,0.82568,2725376,IE00BTN1Y115,United States
ABT,ABBOTT LABORATORIES,Health Care,213752629.86,0.81776,2030518,US0028241000,United States
WMT,WALMART INC,Consumer Staples,205527132.02,0.78629,3468227,US9311421039,United States
DUK,DUKE ENERGY CORP,Utilities,204654951.54,0.78295,2133378,US26441C2044,United States
V,VISA INC CLASS A,Financials,202066986.66,0.77305,744618,US92826C8394,United States
SO,SOUTHERN,Utilities,191788230.14,0.73373,2717702,US8425871071,United States
UNP,UNION PACIFIC CORP,Industrials,184143765.47,0.70448,801287,US9078181081,United States
LMT,LOCKHEED MARTIN CORP,Industrials,180469339.92,0.69043,395688,US5398301094,United States
CAT,CATERPILLAR INC,Industrials,179294295.6,0.68593,500920,US1491231015,United States
HON,HONEYWELL INTERNATIONAL INC,Industrials,172363714.0,0.65942,902050,US4385161066,United States
