symbol,name,sector,market_value,index_weight,amount_shares,isin,country
XOM,EXXON MOBIL CORP,Energy,874516768.36,8.65851,7378643,US30231G1022,United States
CVX,CHEVRON CORP,Energy,670001348.59,6.63362,4252087,US1667641005,United States
VZ,VERIZON COMMUNICATIONS INC,Communication,587356163.68,5.81536,14636336,US92343V1044,United States
JNJ,JOHNSON & JOHNSON,Health Care,547727646.48,5.423,3758252,US4781601046,United States
ABBV,ABBVIE INC,Health Care,520248703.78,5.15094,3159533,US00287Y1091,United States
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,421963886.4,4.17783,4626797,US7181721090,United States
MRK,MERCK & CO INC,Health Care,412763715.35,4.08674,3296045,US58933Y1055,United States
PEP,PEPSICO INC,Consumer Staples,384246340.03,3.80439,2230489,US7134481081,United States
KO,COCA-COLA,Consumer Staples,373023362.99,3.69327,6332089,US1912161007,United States
MO,ALTRIA GROUP INC,Consumer Staples,361018498.4,3.57441,8741368,US02209S1033,United States
CSCO,CISCO SYSTEMS INC,Information Technology,324141317.44,3.20929,6737504,US17275R1023,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,293135023.92,2.9023,1615336,US4592001014,United States
WFC,WELLS FARGO,Financials,270826761.48,2.68143,4610602,US9497461015,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,234799672.64,2.32473,1434592,US8825081040,United States
CMCSA,COMCAST CORP CLASS A,Communication,225793310.26,2.23556,5698973,US20030N1019,United States
COP,CONOCOPHILLIPS,Energy,219010998.27,2.16841,1713567,US20825C1045,United States
MDT,MEDTRONIC PLC,Health Care,177600363.28,1.75841,2242712,IE00BTN1Y115,United States
PXD,PIONEER NATURAL RESOURCE,Energy,174040619.66,1.72316,649478,US7237871071,United States
DUK,DUKE ENERGY CORP,Utilities,168405786.51,1.66737,1755507,US26441C2044,United States
SO,SOUTHERN,Utilities,157817314.11,1.56254,2236323,US8425871071,United States
LMT,LOCKHEED MARTIN CORP,Industrials,148500167.46,1.47029,325594,US5398301094,United States
BX,BLACKSTONE INC,Financials,137800209.92,1.36435,1145281,US09260D1072,United States
FANG,DIAMONDBACK ENERGY INC,Energy,132659349.6,1.31345,664626,US25278X1090,United States
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,126679320.42,1.25424,856578,US6934751057,United States
EOG,EOG RESOURCES INC,Energy,125222991.12,1.23982,950387,US26875P1012,United States
KMI,KINDER MORGAN INC,Energy,118578257.31,1.17403,6511711,US49456B1017,United States
WMB,WILLIAMS INC,Energy,116884848.52,1.15727,3110294,US9694571004,United States
DVN,DEVON ENERGY CORP,Energy,116465137.91,1.15311,2264537,US25179M1036,United States
DOW,DOW INC,Materials,101865705.48,1.00856,1803252,US2605571031,United States
PSX,PHILLIPS,Energy,98391751.73,0.97417,641783,US7185461040,United States
AEP,AMERICAN ELECTRIC POWER INC,Utilities,95171535.36,0.94228,1152756,US0255371017,United States
KMB,KIMBERLY CLARK CORP,Consumer Staples,83740921.14,0.82911,666674,US4943681035,United States
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,77943325.84,0.77171,334492,US0091581068,United States
SRE,SEMPRA,Utilities,75766022.92,0.75015,1107043,US8168511090,United States
GIS,GENERAL MILLS INC,Consumer Staples,74137715.4,0.73403,1073060,US3703341046,United States
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,67154341.8,0.66489,675597,NL0009434992,United States
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,59474969.4,0.58886,913594,US7445731067,United States
PAYX,PAYCHEX INC,Industrials,58718550.58,0.58137,498502,US7043261079,United States
WEC,WEC ENERGY GROUP INC,Utilities,54455064.6,0.53915,676965,US92939U1060,United States
TROW,T ROWE PRICE GROUP INC,Financials,52562640.96,0.52042,483468,US74144T1088,United States
KDP,KEURIG DR PEPPER INC,Consumer Staples,46164669.32,0.45707,1482964,US49271V1008,United States
FE,FIRSTENERGY CORP,Utilities,44315872.62,0.43877,1177674,US3379321074,United States
DTE,DTE ENERGY,Utilities,41863570.32,0.41449,393159,US2333311072,United States
HSY,HERSHEY FOODS,Consumer Staples,41117115.78,0.4071,222423,US4278661081,United States
PPL,PPL CORP,Utilities,36682360.0,0.36319,1378000,US69351T1060,United States
AMCR,AMCOR PLC,Materials,36516762.3,0.36155,4103007,JE00BJ1F3079,United States
CTRA,COTERRA ENERGY INC,Energy,32305675.92,0.31986,1186836,US1270971039,United States
GPC,GENUINE PARTS,Consumer Discretionary,31350601.8,0.3104,195660,US3724601055,United States
CLX,CLOROX,Consumer Staples,29610466.4,0.29317,206777,US1890541097,United States
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,28562598.66,0.2828,187554,US2371941053,United States
CNP,CENTERPOINT ENERGY INC,Utilities,26083806.45,0.25825,933231,US15189T1079,United States
LNT,ALLIANT ENERGY CORP,Utilities,25551427.44,0.25298,523166,US0188021085,United States
NI,NISOURCE INC,Utilities,25292419.4,0.25042,923081,US65473P1057,United States
ATO,ATMOS ENERGY CORP,Utilities,24746547.15,0.24501,215995,US0495601058,United States
CINF,CINCINNATI FINANCIAL CORP,Financials,24269760.32,0.24029,206516,US1720621010,United States
CHRD,CHORD ENERGY CORP,Energy,23777600.4,0.23542,133096,US6742152076,United States
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,21268469.4,0.21058,217870,US83088M1027,United States
WU,WESTERN UNION,Financials,16880606.34,0.16713,1305538,US9598021098,United States
BEN,FRANKLIN RESOURCES INC,Financials,16608050.82,0.16443,663791,US3546131018,United States
WTRG,ESSENTIAL UTILITIES INC,Utilities,16132814.4,0.15973,458840,US29670G1022,United States
AM,ANTERO MIDSTREAM CORP,Energy,15120572.56,0.14971,1094108,US03676B1026,United States
DTM,DT MIDSTREAM INC,Energy,15010326.24,0.14862,239056,US23345M1071,United States
CG,CARLYLE GROUP INC,Financials,14001755.04,0.13863,320553,US14316J1088,United States
CHK,CHESAPEAKE ENERGY CORP,Energy,13438198.72,0.13305,153896,US1651677353,United States
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials,13247124.8,0.13116,454915,US6802231042,United States
JHG,JANUS HENDERSON GROUP PLC,Financials,10271772.17,0.1017,337111,JE00BYPZJM29,United States
INGR,INGREDION INC,Consumer Staples,10202821.57,0.10102,90829,US4571871023,United States
APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials,9155887.2,0.09065,217170,US04316A1088,United States
IDA,IDACORP INC,Utilities,9115879.8,0.09026,98785,US4511071064,United States
NJR,NEW JERSEY RESOURCES CORP,Utilities,8542335.87,0.08458,202473,US6460251068,United States
