symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NOVO B,NOVO NORDISK CLASS B,Health Care,2370797616.31,2.12463,19243803,DK0062498333,Denmark
ASML,ASML HOLDING NV,Information Technology,2131050445.64,1.90978,2380047,NL0010273215,Netherlands
NESN,NESTLE SA,Consumer Staples,1608680014.12,1.44165,15736562,CH0038863350,Switzerland
7203,TOYOTA MOTOR CORP,Consumer Discretionary,1458742444.3,1.30728,62620225,JP3633400001,Japan
MC,LVMH,Consumer Discretionary,1383618734.5,1.23995,1629646,FR0000121014,France
SHEL,SHELL PLC,Energy,1356995674.11,1.21609,38372355,GB00BP6MXD84,United Kingdom
AZN,ASTRAZENECA PLC,Health Care,1241688258.71,1.11276,9141475,GB0009895292,United Kingdom
NOVN,NOVARTIS AG,Health Care,1118018439.38,1.00193,12065128,CH0012005267,Switzerland
SAP,SAP,Information Technology,1110664277.04,0.99534,6161124,DE0007164600,Germany
ROG,ROCHE HOLDING PAR AG,Health Care,1000797873.04,0.89688,4149217,CH0012032048,Switzerland
TTE,TOTALENERGIES,Energy,919229348.47,0.82378,12795619,FR0000120271,France
HSBA,HSBC HOLDINGS PLC,Financials,909781724.22,0.81532,113405615,GB0005405286,United Kingdom
BHP,BHP GROUP LTD,Materials,868003203.35,0.77788,29919893,AU000000BHP4,Australia
SIE,SIEMENS N AG,Industrials,839490152.28,0.75232,4488644,DE0007236101,Germany
SU,SCHNEIDER ELECTRIC,Industrials,736174127.18,0.65973,3208203,FR0000121972,France
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,714343215.72,0.64017,9848869,AU000000CBA7,Australia
ULVR,UNILEVER PLC,Consumer Staples,691373095.65,0.61959,14735293,GB00B10RZP78,United Kingdom
8035,TOKYO ELECTRON LTD,Information Technology,662187265.97,0.59343,2786900,JP3571400005,Japan
ALV,ALLIANZ,Financials,645265426.77,0.57827,2311337,DE0008404005,Germany
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,643029442.85,0.57626,65542800,JP3902900004,Japan
BP.,BP PLC,Energy,642521766.66,0.57581,100754946,GB0007980591,United Kingdom
OR,LOREAL SA,Consumer Staples,639897551.14,0.57345,1417688,FR0000120321,France
6758,SONY GROUP CORP,Consumer Discretionary,614807126.92,0.55097,7450200,JP3435000009,Japan
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,614125291.91,0.55036,3086685,FR0000120073,France
SAN,SANOFI SA,Health Care,609080574.57,0.54584,6706693,FR0000120578,France
AIR,AIRBUS GROUP,Industrials,595309228.71,0.5335,3477451,NL0000235190,France
UBSG,UBS GROUP AG,Financials,548229754.41,0.49131,19373900,CH0244767585,Switzerland
CSL,CSL LTD,Health Care,498876542.53,0.44708,2856947,AU000000CSL8,Australia
6501,HITACHI LTD,Industrials,487173856.1,0.43659,5476500,JP3788600009,Japan
6861,KEYENCE CORP,Information Technology,482742331.45,0.43262,1148900,JP3236200006,Japan
GSK,GLAXOSMITHKLINE,Health Care,476761291.86,0.42726,24191933,GB00BN7SWP63,United Kingdom
RMS,HERMES INTERNATIONAL,Consumer Discretionary,464515680.53,0.41628,187501,FR0000052292,France
DGE,DIAGEO PLC,Consumer Staples,463463951.92,0.41534,13191456,GB0002374006,United Kingdom
REL,RELX PLC,Industrials,460569146.99,0.41275,11116516,GB00B2B0DG97,United Kingdom
SAN,BANCO SANTANDER SA,Financials,459704351.77,0.41197,94933321,ES0113900J37,Spain
ABBN,ABB LTD,Industrials,459052726.98,0.41139,9445116,CH0012221716,Switzerland
8058,MITSUBISHI CORP,Industrials,456578955.54,0.40917,20363000,JP3898400001,Japan
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,446900096.7,0.4005,3173356,CH0210483332,Switzerland
SAF,SAFRAN SA,Industrials,445478673.98,0.39922,2008040,FR0000073272,France
4063,SHIN ETSU CHEMICAL LTD,Materials,441881729.35,0.396,10677600,JP3371200001,Japan
RIO,RIO TINTO PLC,Materials,438027897.43,0.39255,6552911,GB0007188757,United Kingdom
IBE,IBERDROLA SA,Utilities,436321963.0,0.39102,36253255,ES0144580Y14,Spain
