symbol,name,sector,market_value,index_weight,amount_shares,isin,country
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,5528685350.36,7.37834,222423000,TW0002330008,Taiwan
005930,SAMSUNG ELECTRONICS LTD,Information Technology,2497560432.35,3.33314,43078211,KR7005930003,Korea (South)
700,TENCENT HOLDINGS LTD,Communication,2325291759.61,3.10323,59824700,KYG875721634,China
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,1275115138.33,1.70171,147071104,KYG017191142,China
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,963957183.62,1.28646,27499021,INE002A01018,India
000660,SK HYNIX INC,Information Technology,651404592.01,0.86934,4905902,KR7000660001,Korea (South)
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,614554185.0,0.82016,5405050,US7223041028,China
ICICIBC,ICICI BANK LTD,Financials,595056497.66,0.79414,47102884,INE090A01021,India
3690,MEITUAN,Consumer Discretionary,572520147.99,0.76406,45869260,KYG596691041,China
939,CHINA CONSTRUCTION BANK CORP H,Financials,538392594.06,0.71852,867582000,CNE1000002H1,China
2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,513569347.95,0.68539,112240928,TW0002317005,Taiwan
INFY,INFOSYS LTD,Information Technology,509546513.14,0.68002,29995209,INE009A01021,India
HDFCB,HDFC BANK LTD,Financials,454719688.3,0.60685,25416555,INE040A01034,India
2454,MEDIATEK INC,Information Technology,443319800.28,0.59164,13656572,TW0002454006,Taiwan
1120,AL RAJHI BANK,Financials,380796152.48,0.50819,17722612,SA0007879113,Saudi Arabia
TCS,TATA CONSULTANCY SERVICES LTD,Information Technology,378660371.97,0.50534,8191521,INE467B01029,India
VALE3,CIA VALE DO RIO DOCE  SH,Materials,364422553.1,0.48634,30681877,BRVALEACNOR0,Brazil
005935,SAMSUNG ELECTRONICS NON VOTING PRE,Information Technology,358140049.38,0.47796,7416416,KR7005931001,Korea (South)
PETR4,PETROLEO BRASILEIRO PREF SA,Energy,322179414.54,0.42997,42433899,BRPETRACNPR6,Brazil
9999,NETEASE INC,Communication,318701276.44,0.42532,17466235,KYG6427A1022,China
BHARTIARTL,BHARTI AIRTEL LTD,Communication,311938522.61,0.4163,20589606,INE397D01024,India
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Financials,308523289.77,0.41174,587887000,CNE1000003G1,China
3988,BANK OF CHINA LTD H,Financials,305823553.45,0.40814,714947000,CNE1000001Z5,China
BBCA,BANK CENTRAL ASIA,Financials,291867431.38,0.38951,498253900,ID1000109507,Indonesia
1810,XIAOMI CORP,Information Technology,289442362.75,0.38628,138387200,KYG9830T1067,China
NPN,NASPERS LIMITED N LTD,Consumer Discretionary,280112503.6,0.37383,1656794,ZAE000325783,South Africa
1180,THE SAUDI NATIONAL BANK,Financials,267145243.18,0.35652,26581306,SA13L050IE10,Saudi Arabia
PETR3,PETROLEO BRASILEIRO SA PETROBRAS,Energy,267140003.96,0.35651,34156176,BRPETRACNOR9,Brazil
9618,JD.COM CLASS A INC,Consumer Discretionary,265075778.38,0.35376,21172404,KYG8208B1014,China
ITUB4,ITAU UNIBANCO HOLDING PREF SA,Financials,260680781.49,0.34789,43120364,BRITUBACNPR1,Brazil
LT,LARSEN AND TOUBRO LTD,Industrials,259476906.37,0.34629,6104936,INE018A01030,India
AXISBANK,AXIS BANK LTD,Financials,254908450.35,0.34019,20797505,INE238A01034,India
1211,BYD LTD H,Consumer Discretionary,248516283.49,0.33166,9475500,CNE100000296,China
9961,TRIP.COM GROUP LTD,Consumer Discretionary,244402379.71,0.32617,4974141,KYG9066F1019,China
2318,PING AN INSURANCE (GROUP) CO OF CH,Financials,243556435.19,0.32504,60746000,CNE1000003X6,China
9888,BAIDU CLASS A INC,Communication,242516054.94,0.32365,20302262,KYG070341048,China
GFNORTEO,GPO FINANCE BANORTE,Financials,239348189.73,0.31942,23431978,MXP370711014,Mexico
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Financials,213145980.71,0.28446,9966446,INE237A01028,India
BBRI,BANK RAKYAT INDONESIA (PERSERO),Financials,209565193.98,0.27968,619126395,ID1000118201,Indonesia
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Consumer Staples,209110470.06,0.27907,17615962,MXP320321310,Mexico
005380,HYUNDAI MOTOR,Consumer Discretionary,208714165.85,0.27854,1240494,KR7005380001,Korea (South)
M&M,MAHINDRA AND MAHINDRA LTD,Consumer Discretionary,207876009.91,0.27742,8576637,INE101A01026,India
BAJFINANCE,BAJAJ FINANCE LTD,Financials,206279461.21,0.27529,2500127,INE296A01024,India
KFH,KUWAIT FINANCE HOUSE,Financials,202038430.52,0.26963,85650955,KW0EQ0100085,Kuwait
HINDUNILVR,HINDUSTAN UNILEVER LTD,Consumer Staples,199539240.89,0.2663,7526980,INE030A01027,India
NBK,NATIONAL BANK OF KUWAIT,Financials,198461424.61,0.26486,72044536,KW0EQ0100010,Kuwait
000270,KIA CORPORATION CORP,Consumer Discretionary,191925702.17,0.25614,2348524,KR7000270009,Korea (South)
2222,SAUDI ARABIAN OIL,Energy,190992299.82,0.25489,23961549,SA14TG012N13,Saudi Arabia
7010,SAUDI TELECOM,Communication,190211754.97,0.25385,18178913,SA0007879543,Saudi Arabia
