symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NOVO B,NOVO NORDISK CLASS B,Health Care,246392875.81,1.90933,1999975,DK0062498333,Denmark
ASML,ASML HOLDING NV,Information Technology,220981090.3,1.71241,246801,NL0010273215,Netherlands
NESN,NESTLE SA,Consumer Staples,166393480.89,1.2894,1627708,CH0038863350,Switzerland
7203,TOYOTA MOTOR CORP,Consumer Discretionary,150700458.53,1.1678,6469200,JP3633400001,Japan
MC,LVMH,Consumer Discretionary,142800094.13,1.10658,168192,FR0000121014,France
SHEL,SHELL PLC,Energy,140102601.36,1.08567,3961742,GB00BP6MXD84,United Kingdom
AZN,ASTRAZENECA PLC,Health Care,128160807.15,0.99313,943537,GB0009895292,United Kingdom
NOVN,NOVARTIS AG,Health Care,115624212.52,0.89599,1247762,CH0012005267,Switzerland
SAP,SAP,Information Technology,114628125.3,0.88827,635870,DE0007164600,Germany
ROG,ROCHE HOLDING PAR AG,Health Care,103200767.46,0.79972,427861,CH0012032048,Switzerland
TTE,TOTALENERGIES,Energy,94986532.43,0.73606,1322207,FR0000120271,France
HSBA,HSBC HOLDINGS PLC,Financials,94721357.79,0.73401,11807155,GB0005405286,United Kingdom
BHP,BHP GROUP LTD,Materials,89401313.42,0.69278,3081645,AU000000BHP4,Australia
SIE,SIEMENS N AG,Industrials,86686804.31,0.67175,463503,DE0007236101,Germany
RY,ROYAL BANK OF CANADA,Financials,82895967.95,0.64237,854011,CA7800871021,Canada
SU,SCHNEIDER ELECTRIC,Industrials,75793371.78,0.58733,330303,FR0000121972,France
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,73700181.08,0.57111,1016127,AU000000CBA7,Australia
ULVR,UNILEVER PLC,Consumer Staples,71141088.07,0.55128,1516236,GB00B10RZP78,United Kingdom
8035,TOKYO ELECTRON LTD,Information Technology,68573413.1,0.53138,288600,JP3571400005,Japan
ALV,ALLIANZ,Financials,67787379.92,0.52529,242814,DE0008404005,Germany
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,66569442.85,0.51586,6785300,JP3902900004,Japan
OR,LOREAL SA,Consumer Staples,65803437.91,0.50992,145787,FR0000120321,France
BP.,BP PLC,Energy,65633319.57,0.5086,10292074,GB0007980591,United Kingdom
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,63284041.69,0.4904,318075,FR0000120073,France
6758,SONY GROUP CORP,Consumer Discretionary,63104750.2,0.48901,764700,JP3435000009,Japan
TD,TORONTO DOMINION,Financials,62815284.58,0.48676,1095822,CA8911605092,Canada
