symbol,name,sector,market_value,index_weight,amount_shares,isin,country
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,728473141.55,2.07658,29307000,TW0002330008,Taiwan
NOVO B,NOVO NORDISK CLASS B,Health Care,478848980.37,1.365,3886825,DK0062498333,Denmark
ASML,ASML HOLDING NV,Information Technology,430238948.47,1.22644,480509,NL0010273215,Netherlands
005930,SAMSUNG ELECTRONICS LTD,Information Technology,330551124.51,0.94227,5701384,KR7005930003,Korea (South)
NESN,NESTLE SA,Consumer Staples,324512001.23,0.92505,3174468,CH0038863350,Switzerland
700,TENCENT HOLDINGS LTD,Communication,308498675.23,0.8794,7937000,KYG875721634,China
7203,TOYOTA MOTOR CORP,Consumer Discretionary,295302268.07,0.84179,12676600,JP3633400001,Japan
MC,LVMH,Consumer Discretionary,279616223.12,0.79707,329336,FR0000121014,France
SHEL,SHELL PLC,Energy,273635936.12,0.78002,7737722,GB00BP6MXD84,United Kingdom
AZN,ASTRAZENECA PLC,Health Care,250243077.6,0.71334,1842323,GB0009895292,United Kingdom
NOVN,NOVARTIS AG,Health Care,226388409.21,0.64534,2443077,CH0012005267,Switzerland
SAP,SAP,Information Technology,225291217.46,0.64221,1249745,DE0007164600,Germany
ROG,ROCHE HOLDING PAR AG,Health Care,201962701.46,0.57571,837319,CH0012032048,Switzerland
TTE,TOTALENERGIES,Energy,187771547.04,0.53526,2613769,FR0000120271,France
HSBA,HSBC HOLDINGS PLC,Financials,183046568.79,0.52179,22817021,GB0005405286,United Kingdom
BHP,BHP GROUP LTD,Materials,176074992.45,0.50192,6069269,AU000000BHP4,Australia
SIE,SIEMENS N AG,Industrials,169961518.39,0.48449,908762,DE0007236101,Germany
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,169216765.37,0.48237,19517372,KYG017191142,China
RY,ROYAL BANK OF CANADA,Financials,162117672.84,0.46213,1670169,CA7800871021,Canada
SU,SCHNEIDER ELECTRIC,Industrials,148974500.43,0.42467,649222,FR0000121972,France
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,145452338.48,0.41463,2005396,AU000000CBA7,Australia
ULVR,UNILEVER PLC,Consumer Staples,138793661.79,0.39564,2958121,GB00B10RZP78,United Kingdom
8035,TOKYO ELECTRON LTD,Information Technology,133986651.58,0.38194,563900,JP3571400005,Japan
ALV,ALLIANZ,Financials,131551861.05,0.375,471218,DE0008404005,Germany
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,130867677.93,0.37305,13339100,JP3902900004,Japan
OR,LOREAL SA,Consumer Staples,130360200.23,0.3716,288812,FR0000120321,France
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,129180154.42,0.36824,3685151,INE002A01018,India
BP.,BP PLC,Energy,128637333.18,0.36669,20171842,GB0007980591,United Kingdom
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,124492338.96,0.35488,625717,FR0000120073,France
6758,SONY GROUP CORP,Consumer Discretionary,123915382.38,0.35323,1501600,JP3435000009,Japan
SAN,SANOFI SA,Health Care,123231168.21,0.35128,1356920,FR0000120578,France
TD,TORONTO DOMINION,Financials,121891134.2,0.34746,2126409,CA8911605092,Canada
AIR,AIRBUS GROUP,Industrials,121849832.41,0.34734,711776,NL0000235190,France
UBSG,UBS GROUP AG,Financials,111559190.35,0.31801,3942392,CH0244767585,Switzerland
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,100671038.62,0.28697,1445642,CA82509L1076,Canada
CSL,CSL LTD,Health Care,100483143.11,0.28644,575443,AU000000CSL8,Australia
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,99157818.47,0.28266,1288705,CA1363851017,Canada
6501,HITACHI LTD,Industrials,98075262.73,0.27957,1102500,JP3788600009,Japan
6861,KEYENCE CORP,Information Technology,97271172.19,0.27728,231500,JP3236200006,Japan
GSK,GLAXOSMITHKLINE,Health Care,95451039.99,0.27209,4843399,GB00BN7SWP63,United Kingdom
