symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,30817284602.74,7.1247,76229462,US5949181045,United States
AAPL,APPLE INC,Information Technology,24874707144.96,5.75083,148914674,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,21455456977.74,4.96032,25339794,US67066G1040,United States
AMZN,AMAZON COM INC,Consumer Discretionary,16806822368.1,3.8856,93777605,US0231351067,United States
META,META PLATFORMS INC CLASS A,Communication,11325973245.6,2.61847,22570692,US30303M1027,United States
GOOGL,ALPHABET INC CLASS A,Communication,9431874728.6,2.18057,60456860,US02079K3059,United States
GOOG,ALPHABET INC CLASS C,Communication,7969997564.44,1.8426,50616014,US02079K1079,United States
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,7464268361.56,1.72568,18665804,US0846707026,United States
LLY,ELI LILLY,Health Care,6102568463.25,1.41086,8180935,US5324571083,United States
AVGO,BROADCOM INC,Information Technology,5683778340.46,1.31404,4514554,US11135F1012,United States
JPM,JPMORGAN CHASE & CO,Financials,5375719850.0,1.24282,29659144,US46625H1005,United States
XOM,EXXON MOBIL CORP,Energy,4828377509.52,1.11628,40738926,US30231G1022,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,4679830392.56,1.08194,9489092,US91324P1021,United States
V,VISA INC CLASS A,Financials,4403230352.73,1.01799,16225929,US92826C8394,United States
TSLA,TESLA INC,Consumer Discretionary,4261818872.63,0.9853,28425391,US88160R1014,United States
MA,MASTERCARD INC CLASS A,Financials,3848576253.0,0.88976,8463990,US57636Q1040,United States
PG,PROCTER & GAMBLE,Consumer Staples,3796980285.42,0.87783,24139998,US7427181091,United States
JNJ,JOHNSON & JOHNSON,Health Care,3599268930.18,0.83212,24696507,US4781601046,United States
HD,HOME DEPOT INC,Consumer Discretionary,3398899110.53,0.7858,10210277,US4370761029,United States
MRK,MERCK & CO INC,Health Care,3255608693.05,0.75267,25997035,US58933Y1055,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,3237736602.5,0.74854,4552178,US22160K1051,United States
ABBV,ABBVIE INC,Health Care,2982456776.54,0.68952,18112819,US00287Y1091,United States
CVX,CHEVRON CORP,Energy,2803818700.55,0.64822,17794115,US1667641005,United States
NFLX,NETFLIX INC,Communication,2710836334.08,0.62672,4439918,US64110L1061,United States
