symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,2006777683.58,12.28843,4963954,US5949181045,United States
AAPL,APPLE INC,Information Technology,1619803751.04,9.91881,9697101,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,1397160404.55,8.55546,1650105,US67066G1040,United States
AMZN,AMAZON COM INC,Consumer Discretionary,1094431124.7,6.70171,6106635,US0231351067,United States
META,META PLATFORMS INC CLASS A,Communication,737527073.4,4.51622,1469763,US30303M1027,United States
GOOGL,ALPHABET INC CLASS A,Communication,614190620.67,3.76097,3936867,US02079K3059,United States
GOOG,ALPHABET INC CLASS C,Communication,518993986.02,3.17804,3296037,US02079K1079,United States
LLY,ELI LILLY,Health Care,397378754.25,2.43333,532715,US5324571083,United States
AVGO,BROADCOM INC,Information Technology,370114103.23,2.26638,293977,US11135F1012,United States
TSLA,TESLA INC,Consumer Discretionary,277525227.76,1.69942,1851032,US88160R1014,United States
V,VISA INC CLASS A,Financials,189240412.24,1.15881,697352,US92826C8394,United States
MA,MASTERCARD INC CLASS A,Financials,180447240.3,1.10496,396849,US57636Q1040,United States
NFLX,NETFLIX INC,Communication,176512285.44,1.08087,289099,US64110L1061,United States
CRM,SALESFORCE INC,Information Technology,175847400.96,1.0768,646688,US79466L3024,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,167398004.4,1.02506,1079430,US0079031078,United States
ADBE,ADOBE INC,Information Technology,142883325.52,0.87494,301964,US00724F1012,United States
ORCL,ORACLE CORP,Information Technology,123556588.0,0.75659,1065143,US68389X1054,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,115784854.96,0.709,234772,US91324P1021,United States
INTU,INTUIT INC,Information Technology,113771318.66,0.69667,187007,US4612021034,United States
AMAT,APPLIED MATERIAL INC,Information Technology,107993922.96,0.6613,555753,US0382221051,United States
NOW,SERVICENOW INC,Information Technology,100124646.72,0.61311,136902,US81762P1021,United States
UBER,UBER TECHNOLOGIES INC,Industrials,97993080.1,0.60006,1374377,US90353T1007,United States
PG,PROCTER & GAMBLE,Consumer Staples,96507796.14,0.59096,613566,US7427181091,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,88507950.0,0.54198,124440,US22160K1051,United States
MRK,MERCK & CO INC,Health Care,84908569.83,0.51993,678021,US58933Y1055,United States
HD,HOME DEPOT INC,Consumer Discretionary,81856652.33,0.50125,245897,US4370761029,United States
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,79887960.6,0.48919,23290,US09857L1089,United States
LRCX,LAM RESEARCH CORP,Information Technology,77792055.96,0.47636,87513,US5128071082,United States
LIN,LINDE PLC,Materials,75135954.72,0.46009,168304,IE000S9YS762,United States
ABBV,ABBVIE INC,Health Care,71952797.48,0.4406,436978,US00287Y1091,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,71490260.0,0.43777,226235,IE00B4BNMY34,United States
CAT,CATERPILLAR INC,Industrials,70524379.62,0.43185,197034,US1491231015,United States
COP,CONOCOPHILLIPS,Energy,69498221.22,0.42557,543762,US20825C1045,United States
