symbol,name,sector,market_value,index_weight,amount_shares,isin,country
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,590878263.78,3.60013,1477602,US0846707026,United States
JPM,JPMORGAN CHASE & CO,Financials,425581706.25,2.593,2348037,US46625H1005,United States
XOM,EXXON MOBIL CORP,Energy,382031204.96,2.32765,3223348,US30231G1022,United States
JNJ,JOHNSON & JOHNSON,Health Care,284887159.62,1.73577,1954763,US4781601046,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,229597976.28,1.3989,465546,US91324P1021,United States
CVX,CHEVRON CORP,Energy,221881407.65,1.35189,1408145,US1667641005,United States
WMT,WALMART INC,Consumer Staples,205859521.36,1.25427,3473836,US9311421039,United States
BAC,BANK OF AMERICA CORP,Financials,199876464.48,1.21782,5587824,US0605051046,United States
PG,PROCTER & GAMBLE,Consumer Staples,183369153.87,1.11724,1165803,US7427181091,United States
WFC,WELLS FARGO,Financials,171792237.54,1.0467,2924621,US9497461015,United States
HD,HOME DEPOT INC,Consumer Discretionary,169421702.38,1.03226,508942,US4370761029,United States
DIS,WALT DISNEY,Communication,167420187.58,1.02006,1489106,US2546871060,United States
CSCO,CISCO SYSTEMS INC,Information Technology,158666635.67,0.96673,3297997,US17275R1023,United States
MRK,MERCK & CO INC,Health Care,154615720.42,0.94205,1234654,US58933Y1055,United States
ABBV,ABBVIE INC,Health Care,148735896.06,0.90622,903291,US00287Y1091,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,148601462.5,0.9054,208930,US22160K1051,United States
ABT,ABBOTT LABORATORIES,Health Care,148366274.76,0.90397,1409388,US0028241000,United States
VZ,VERIZON COMMUNICATIONS INC,Communication,136844664.42,0.83377,3410034,US92343V1044,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,134818418.28,0.82143,742924,US4592001014,United States
CMCSA,COMCAST CORP CLASS A,Communication,127467722.34,0.77664,3217257,US20030N1019,United States
DHR,DANAHER CORP,Health Care,126159513.6,0.76867,533760,US2358511028,United States
PEP,PEPSICO INC,Consumer Staples,123102591.57,0.75004,714591,US7134481081,United States
INTC,INTEL CORPORATION CORP,Information Technology,120284611.2,0.73287,3432780,US4581401001,United States
V,VISA INC CLASS A,Financials,118475800.08,0.72185,436584,US92826C8394,United States
PFE,PFIZER INC,Health Care,116398246.07,0.7092,4584413,US7170811035,United States
AMGN,AMGEN INC,Health Care,114078955.75,0.69506,434173,US0311621009,United States
KO,COCA-COLA,Consumer Staples,113670438.51,0.69258,1929561,US1912161007,United States
RTX,RTX CORP,Industrials,108490149.63,0.66101,1077253,US75513E1010,United States
GS,GOLDMAN SACHS GROUP INC,Financials,106836243.3,0.65094,265030,US38141G1040,United States
LOW,LOWES COMPANIES INC,Consumer Discretionary,106795053.78,0.65069,466782,US5486611073,United States
NEE,NEXTERA ENERGY INC,Utilities,106627345.92,0.64966,1665792,US65339F1012,United States
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,105302896.16,0.64159,194458,US8835561023,United States
HON,HONEYWELL INTERNATIONAL INC,Industrials,102242513.16,0.62295,535077,US4385161066,United States
MU,MICRON TECHNOLOGY INC,Information Technology,100322635.14,0.61125,896298,US5951121038,United States
ELV,ELEVANCE HEALTH INC,Health Care,100193122.25,0.61046,190775,US0367521038,United States
T,AT&T INC,Communication,94874948.48,0.57806,5809856,US00206R1023,United States
MS,MORGAN STANLEY,Financials,91836481.16,0.55954,1017466,US6174464486,United States
C,CITIGROUP INC,Financials,90215499.6,0.54967,1546905,US1729674242,United States
MCD,MCDONALDS CORP,Consumer Discretionary,89344815.8,0.54436,329710,US5801351017,United States
SCHW,CHARLES SCHWAB CORP,Financials,88173901.53,0.53723,1209021,US8085131055,United States
MDT,MEDTRONIC PLC,Health Care,85561073.07,0.52131,1080453,IE00BTN1Y115,United States
MA,MASTERCARD INC CLASS A,Financials,85395388.2,0.5203,187806,US57636Q1040,United States
BLK,BLACKROCK INC,Financials,84760260.6,0.51643,113422,US09247X1019,United States
LIN,LINDE PLC,Materials,84290894.73,0.51357,188811,IE000S9YS762,United States
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,83841051.06,0.51083,587369,US9113121068,United States
CI,CIGNA,Health Care,82856874.36,0.50483,237562,US1255231003,United States
CB,CHUBB LTD,Financials,80845207.84,0.49258,329456,CH0044328745,United States
BMY,BRISTOL MYERS SQUIBB,Health Care,79823139.9,0.48635,1652653,US1101221083,United States
LMT,LOCKHEED MARTIN CORP,Industrials,79743687.78,0.48587,174842,US5398301094,United States
PLD,PROLOGIS REIT INC,Real Estate,78545975.68,0.47857,750272,US74340W1036,United States
GE,GE AEROSPACE,Industrials,76951455.12,0.46885,503148,US3696043013,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,76103931.28,0.46369,464984,US8825081040,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,74020472.0,0.45099,234242,IE00B4BNMY34,United States
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,72431222.4,0.44131,794202,US7181721090,United States
CVS,CVS HEALTH CORP,Health Care,70812980.73,0.43145,1020507,US1266501006,United States
QCOM,QUALCOMM INC,Information Technology,70129374.56,0.42729,434399,US7475251036,United States
TMUS,T MOBILE US INC,Communication,68191392.4,0.41548,423944,US8725901040,United States
GILD,GILEAD SCIENCES INC,Health Care,66974958.88,0.40807,1012318,US3755581036,United States
SO,SOUTHERN,Utilities,62605822.65,0.38145,887145,US8425871071,United States
UNP,UNION PACIFIC CORP,Industrials,62563934.02,0.38119,272242,US9078181081,United States
TGT,TARGET CORP,Consumer Staples,62449675.94,0.3805,374893,US87612E1064,United States
CAT,CATERPILLAR INC,Industrials,62080452.99,0.37825,173443,US1491231015,United States
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,60802880.7,0.37046,464215,US45866F1049,United States
SPGI,S&P GLOBAL INC,Financials,60521501.7,0.36875,146410,US78409V1044,United States
DUK,DUKE ENERGY CORP,Utilities,60043642.23,0.36584,625911,US26441C2044,United States
MO,ALTRIA GROUP INC,Consumer Staples,59261370.0,0.36107,1434900,US02209S1033,United States
SLB,SCHLUMBERGER NV,Energy,58952862.0,0.35919,1157300,AN8068571086,United States
MCK,MCKESSON CORP,Health Care,55414614.91,0.33763,106811,US58155Q1031,United States
BDX,BECTON DICKINSON,Health Care,54734294.0,0.33349,234760,US0758871091,United States
PYPL,PAYPAL HOLDINGS INC,Financials,53898204.6,0.32839,867926,US70450Y1038,United States
NKE,NIKE INC CLASS B,Consumer Discretionary,53771700.82,0.32762,561643,US6541061031,United States
PSX,PHILLIPS,Energy,53667238.67,0.32699,350057,US7185461040,United States
GD,GENERAL DYNAMICS CORP,Industrials,52721319.24,0.32122,184812,US3695501086,United States
NOC,NORTHROP GRUMMAN CORP,Industrials,51847902.5,0.3159,114581,US6668071029,United States
