symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,815333757.35,6.75643,2016805,US5949181045,United States
AAPL,APPLE INC,Information Technology,651968645.76,5.40267,3903069,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,587108714.0,4.8652,693400,US67066G1040,United States
AMZN,AMAZON COM INC,Consumer Discretionary,445971048.0,3.69563,2488400,US0231351067,United States
GOOG,ALPHABET INC CLASS C,Communication,356640916.52,2.95538,2264962,US02079K1079,United States
META,META PLATFORMS INC CLASS A,Communication,285230647.0,2.36362,568415,US30303M1027,United States
LLY,ELI LILLY,Health Care,169763301.0,1.40678,227580,US5324571083,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,141718725.26,1.17438,287357,US91324P1021,United States
JPM,JPMORGAN CHASE & CO,Financials,141480306.25,1.17241,780581,US46625H1005,United States
AVGO,BROADCOM INC,Information Technology,137402391.63,1.13861,109137,US11135F1012,United States
V,VISA INC CLASS A,Financials,124758015.58,1.03383,459734,US92826C8394,United States
TSLA,TESLA INC,Consumer Discretionary,117892507.81,0.97694,786317,US88160R1014,United States
HD,HOME DEPOT INC,Consumer Discretionary,115624348.15,0.95814,347335,US4370761029,United States
MA,MASTERCARD INC CLASS A,Financials,114413432.8,0.94811,251624,US57636Q1040,United States
KO,COCA-COLA,Consumer Staples,113137774.29,0.93754,1920519,US1912161007,United States
GOOGL,ALPHABET INC CLASS A,Communication,105052609.71,0.87054,673371,US02079K3059,United States
PG,PROCTER & GAMBLE,Consumer Staples,91637311.29,0.75937,582601,US7427181091,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,90684145.89,0.75147,554067,US8825081040,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,89270410.0,0.73976,125512,US22160K1051,United States
JNJ,JOHNSON & JOHNSON,Health Care,84322394.94,0.69875,578581,US4781601046,United States
CRM,SALESFORCE INC,Information Technology,83940888.24,0.69559,308697,US79466L3024,United States
CVX,CHEVRON CORP,Energy,80390795.87,0.66617,510191,US1667641005,United States
MRK,MERCK & CO INC,Health Care,80155089.49,0.66422,640063,US58933Y1055,United States
ADBE,ADOBE INC,Information Technology,77654516.16,0.6435,164112,US00724F1012,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,72235333.52,0.59859,465794,US0079031078,United States
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,72095354.73,0.59743,297927,US0530151036,United States
BAC,BANK OF AMERICA CORP,Financials,72043570.06,0.597,2014078,US0605051046,United States
AMAT,APPLIED MATERIAL INC,Information Technology,70967607.2,0.58809,365210,US0382221051,United States
INTU,INTUIT INC,Information Technology,69269538.42,0.57402,113859,US4612021034,United States
XOM,EXXON MOBIL CORP,Energy,69175975.8,0.57324,583665,US30231G1022,United States
PRU,PRUDENTIAL FINANCIAL INC,Financials,68520023.3,0.56781,630359,US7443201022,United States
DIS,WALT DISNEY,Communication,65776496.92,0.54507,585044,US2546871060,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,64429834.68,0.53391,355044,US4592001014,United States
DHR,DANAHER CORP,Health Care,64230357.28,0.53226,271748,US2358511028,United States
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,64124411.4,0.53138,985014,US7445731067,United States
NFLX,NETFLIX INC,Communication,63862744.32,0.52921,104597,US64110L1061,United States
RTX,RTX CORP,Industrials,61989019.2,0.51368,615520,US75513E1010,United States
HES,HESS CORP,Energy,59381192.96,0.49207,391232,US42809H1077,United States
SPGI,S&P GLOBAL INC,Financials,59292966.06,0.49134,143438,US78409V1044,United States
ABBV,ABBVIE INC,Health Care,58707711.74,0.48649,356539,US00287Y1091,United States
VZ,VERIZON COMMUNICATIONS INC,Communication,57305680.13,0.47488,1428001,US92343V1044,United States
PEP,PEPSICO INC,Consumer Staples,56089906.11,0.4648,325593,US7134481081,United States
GE,GE AEROSPACE,Industrials,55187634.3,0.45732,360845,US3696043013,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,54547920.0,0.45202,172620,IE00B4BNMY34,United States
COP,CONOCOPHILLIPS,Energy,54539211.01,0.45195,426721,US20825C1045,United States
INTC,INTEL CORPORATION CORP,Information Technology,53719543.68,0.44516,1533092,US4581401001,United States
CSCO,CISCO SYSTEMS INC,Information Technology,53635770.27,0.44446,1114857,US17275R1023,United States
K,KELLANOVA,Consumer Staples,53334238.54,0.44196,943301,US4878361082,United States
PGR,PROGRESSIVE CORP,Financials,53040950.75,0.43953,252877,US7433151039,United States
TT,TRANE TECHNOLOGIES PLC,Industrials,52779259.44,0.43737,182274,IE00BK9ZQ967,United States
GILD,GILEAD SCIENCES INC,Health Care,52741693.44,0.43705,797184,US3755581036,United States
MS,MORGAN STANLEY,Financials,52629974.18,0.43613,583093,US6174464486,United States
ORCL,ORACLE CORP,Information Technology,52584424.0,0.43575,453314,US68389X1054,United States
HON,HONEYWELL INTERNATIONAL INC,Industrials,51550326.72,0.42718,269784,US4385161066,United States
GIS,GENERAL MILLS INC,Consumer Staples,49964575.29,0.41404,723181,US3703341046,United States
ECL,ECOLAB INC,Materials,49800347.01,0.41268,227181,US2788651006,United States
AMGN,AMGEN INC,Health Care,49515237.5,0.41032,188450,US0311621009,United States
AXP,AMERICAN EXPRESS,Financials,49261140.0,0.40821,226488,US0258161092,United States
CAT,CATERPILLAR INC,Industrials,48988089.45,0.40595,136865,US1491231015,United States
NEE,NEXTERA ENERGY INC,Utilities,48774403.81,0.40418,761981,US65339F1012,United States
NOW,SERVICENOW INC,Information Technology,48094964.96,0.39855,65761,US81762P1021,United States
LRCX,LAM RESEARCH CORP,Information Technology,47955456.16,0.39739,53948,US5128071082,United States
ZTS,ZOETIS INC CLASS A,Health Care,46552329.95,0.38577,304045,US98978V1035,United States
MCD,MCDONALDS CORP,Consumer Discretionary,46131364.22,0.38228,170239,US5801351017,United States
FERG,FERGUSON PLC,Industrials,45306110.18,0.37544,216217,JE00BJVNSS43,United States
LOW,LOWES COMPANIES INC,Consumer Discretionary,45058360.18,0.37339,196942,US5486611073,United States
ELV,ELEVANCE HEALTH INC,Health Care,44525083.01,0.36897,84779,US0367521038,United States
LIN,LINDE PLC,Materials,44154605.58,0.3659,98906,IE000S9YS762,United States
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,43945111.77,0.36416,109893,US0846707026,United States
C,CITIGROUP INC,Financials,43566789.6,0.36103,747030,US1729674242,United States
EQIX,EQUINIX REIT INC,Real Estate,43295282.15,0.35878,58519,US29444U7000,United States
PNR,PENTAIR,Industrials,42374334.24,0.35114,539938,IE00BLS09M33,United States
UNP,UNION PACIFIC CORP,Industrials,41718788.16,0.34571,181536,US9078181081,United States
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,40828956.42,0.33834,11903,US09857L1089,United States
EW,EDWARDS LIFESCIENCES CORP,Health Care,40069229.2,0.33204,463496,US28176E1082,United States
CI,CIGNA,Health Care,39792658.98,0.32975,114091,US1255231003,United States
AMT,AMERICAN TOWER REIT CORP,Real Estate,39749634.0,0.32939,232454,US03027X1000,United States
CCI,CROWN CASTLE INC,Real Estate,39030677.04,0.32344,413592,US22822V1017,United States
MMM,3M,Industrials,38764650.0,0.32123,423750,US88579Y1010,United States
BK,BANK OF NEW YORK MELLON CORP,Financials,38142334.75,0.31607,690359,US0640581007,United States
GS,GOLDMAN SACHS GROUP INC,Financials,37834292.16,0.31352,93856,US38141G1040,United States
QCOM,QUALCOMM INC,Information Technology,37447138.08,0.31031,231957,US7475251036,United States
NXPI,NXP SEMICONDUCTORS NV,Information Technology,37420232.6,0.31009,170596,NL0009538784,United States
MCO,MOODYS CORP,Financials,37307163.2,0.30915,99592,US6153691059,United States
TRV,TRAVELERS COMPANIES INC,Financials,36574993.98,0.30309,173819,US89417E1091,United States
CMI,CUMMINS INC,Industrials,36319091.76,0.30097,124628,US2310211063,United States
ADSK,AUTODESK INC,Information Technology,35972233.92,0.29809,170784,US0527691069,United States
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,35884763.44,0.29737,312694,US3021301094,United States
KMB,KIMBERLY CLARK CORP,Consumer Staples,34989544.77,0.28995,278557,US4943681035,United States
MCK,MCKESSON CORP,Health Care,34851061.75,0.2888,67175,US58155Q1031,United States
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,34621640.56,0.2869,234104,US6934751057,United States
UBER,UBER TECHNOLOGIES INC,Industrials,34228563.2,0.28364,480064,US90353T1007,United States
PFE,PFIZER INC,Health Care,33808435.35,0.28016,1331565,US7170811035,United States
ISRG,INTUITIVE SURGICAL INC,Health Care,33777418.98,0.2799,90646,US46120E6023,United States
OKE,ONEOK INC,Energy,33349617.84,0.27636,428218,US6826801036,United States
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,33295027.48,0.27591,123847,US4464131063,United States
IDXX,IDEXX LABORATORIES INC,Health Care,32969421.16,0.27321,69004,US45168D1046,United States
TGT,TARGET CORP,Consumer Staples,32946192.4,0.27302,197780,US87612E1064,United States
KMI,KINDER MORGAN INC,Energy,32704067.4,0.27101,1795940,US49456B1017,United States
SBUX,STARBUCKS CORP,Consumer Discretionary,32253430.65,0.26727,370091,US8552441094,United States
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,31599592.15,0.26186,325937,US4165151048,United States
DE,DEERE,Industrials,31562072.2,0.26155,78787,US2441991054,United States
ES,EVERSOURCE ENERGY,Utilities,31086609.19,0.25761,526981,US30040W1080,United States
CMCSA,COMCAST CORP CLASS A,Communication,30984900.24,0.25676,782052,US20030N1019,United States
CBRE,CBRE GROUP INC CLASS A,Real Estate,30855161.7,0.25569,362405,US12504L1098,United States
XYL,XYLEM INC,Industrials,30189818.56,0.25017,237416,US98419M1009,United States
MET,METLIFE INC,Financials,29805065.45,0.24699,426091,US59156R1086,United States
WDAY,WORKDAY INC CLASS A,Information Technology,29783849.48,0.24681,116507,US98138H1014,United States
KR,KROGER,Consumer Staples,29496055.87,0.24443,530791,US5010441013,United States
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,29153812.24,0.24159,53837,US8835561023,United States
MU,MICRON TECHNOLOGY INC,Information Technology,29134819.35,0.24143,260295,US5951121038,United States
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,29031486.49,0.24058,197641,US49338L1035,United States
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,28140279.3,0.23319,98427,US1273871087,United States
COR,CENCORA INC,Health Care,28133338.8,0.23313,118556,US03073E1055,United States
SNPS,SYNOPSYS INC,Information Technology,27968193.65,0.23176,53815,US8716071076,United States
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,27436675.5,0.22736,33735,US2435371073,United States
LKQ,LKQ CORP,Consumer Discretionary,27412770.98,0.22716,564281,US5018892084,United States
KHC,KRAFT HEINZ,Consumer Staples,27223599.12,0.22559,733592,US5007541064,United States
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,27095935.84,0.22454,140408,US11133T1034,United States
REGN,REGENERON PHARMACEUTICALS INC,Health Care,27056607.35,0.22421,30265,US75886F1075,United States
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,26939512.48,0.22324,197128,US2538681030,United States
DOW,DOW INC,Materials,26808854.73,0.22216,474577,US2605571031,United States
PXD,PIONEER NATURAL RESOURCE,Energy,26793784.36,0.22203,99988,US7237871071,United States
CHD,CHURCH AND DWIGHT INC,Consumer Staples,26784631.2,0.22196,259541,US1713401024,United States
PANW,PALO ALTO NETWORKS INC,Information Technology,26682153.98,0.22111,94907,US6974351057,United States
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,26579639.52,0.22026,1559838,US42824C1099,United States
BG,BUNGE GLOBAL SA,Consumer Staples,26397864.44,0.21875,247844,CH1300646267,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,26371423.08,0.21853,67021,US92532F1003,United States
CLX,CLOROX,Consumer Staples,26304121.6,0.21797,183688,US1890541097,United States
GWW,WW GRAINGER INC,Industrials,26057049.22,0.21593,27793,US3848021040,United States
SLB,SCHLUMBERGER NV,Energy,25918272.0,0.21478,508800,AN8068571086,United States
SCHW,CHARLES SCHWAB CORP,Financials,25356083.61,0.21012,347677,US8085131055,United States
MMC,MARSH & MCLENNAN INC,Financials,25317720.19,0.2098,125503,US5717481023,United States
VLTO,VERALTO CORP,Industrials,25131288.0,0.20826,283010,US92338C1036,United States
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,24794487.42,0.20546,354866,US12541W2098,United States
OVV,OVINTIV INC,Energy,24533175.35,0.2033,476095,US69047Q1022,United States
DFS,DISCOVER FINANCIAL SERVICES,Financials,24332190.27,0.20163,195801,US2547091080,United States
PSX,PHILLIPS,Energy,24113669.97,0.19982,157287,US7185461040,United States
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,23888480.0,0.19796,341264,US31620M1062,United States
LNG,CHENIERE ENERGY INC,Energy,23879524.21,0.19788,148847,US16411R2085,United States
BBY,BEST BUY CO INC,Consumer Discretionary,23842872.0,0.19758,313722,US0865161014,United States
ETN,EATON PLC,Industrials,23741112.18,0.19674,76847,IE00B8KQN827,United States
KDP,KEURIG DR PEPPER INC,Consumer Staples,23631561.25,0.19583,759125,US49271V1008,United States
TRGP,TARGA RESOURCES CORP,Energy,23215252.86,0.19238,207687,US87612G1013,United States
SYF,SYNCHRONY FINANCIAL,Financials,23212140.0,0.19235,568925,US87165B1035,United States
LII,LENNOX INTERNATIONAL INC,Industrials,23097569.04,0.1914,50361,US5261071071,United States
COO,COOPER INC,Health Care,23012418.94,0.1907,254534,US2166485019,United States
IQV,IQVIA HOLDINGS INC,Health Care,22826495.94,0.18916,100482,US46266C1053,United States
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,22656263.76,0.18775,158724,US9113121068,United States
WELL,WELLTOWER INC,Real Estate,22579452.45,0.18711,248645,US95040Q1040,United States
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,21942825.47,0.18183,78499,US9699041011,United States
T,AT&T INC,Communication,21844232.75,0.18102,1337675,US00206R1023,United States
AXON,AXON ENTERPRISE INC,Industrials,21341964.44,0.17685,71716,US05464C1018,United States
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,20888075.48,0.17309,48638,US3030751057,United States
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,20664034.82,0.17124,7106,US1696561059,United States
PPG,PPG INDUSTRIES INC,Materials,20601302.58,0.17072,152478,US6935061076,United States
EXC,EXELON CORP,Utilities,20476499.96,0.16968,558247,US30161N1019,United States
MRVL,MARVELL TECHNOLOGY INC,Information Technology,20468071.4,0.16961,313735,US5738741041,United States
CARR,CARRIER GLOBAL CORP,Industrials,20459112.74,0.16954,383273,US14448C1045,United States
NUE,NUCOR CORP,Materials,20452833.24,0.16949,107212,US6703461052,United States
BLK,BLACKROCK INC,Financials,20444633.4,0.16942,27358,US09247X1019,United States
NDAQ,NASDAQ INC,Financials,20304561.05,0.16826,338015,US6311031081,United States
BMY,BRISTOL MYERS SQUIBB,Health Care,20286917.7,0.16811,420019,US1101221083,United States
IT,GARTNER INC,Information Technology,20285953.59,0.1681,45119,US3666511072,United States
IRM,IRON MOUNTAIN INC,Real Estate,20259058.92,0.16788,272226,US46284V1017,United States
HBAN,HUNTINGTON BANCSHARES INC,Financials,19917892.78,0.16505,1511221,US4461501045,United States
PLD,PROLOGIS REIT INC,Real Estate,19821481.15,0.16425,189335,US74340W1036,United States
ANET,ARISTA NETWORKS INC,Information Technology,19313168.67,0.16004,75093,US0404131064,United States
CAH,CARDINAL HEALTH INC,Health Care,19043430.0,0.15781,179655,US14149Y1082,United States
TAP,MOLSON COORS BREWING  CLASS B,Consumer Staples,18979067.4,0.15727,297105,US60871R2094,United States
STE,STERIS,Health Care,18954255.09,0.15707,94389,IE00BFY8C754,United States
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,18495358.0,0.15327,186070,NL0009434992,United States
CMS,CMS ENERGY CORP,Utilities,18429738.08,0.15272,315146,US1258961002,United States
MELI,MERCADOLIBRE INC,Consumer Discretionary,18233916.75,0.1511,13307,US58733R1023,United States
CNHI,CNH INDUSTRIAL N.V. NV,Industrials,18132730.8,0.15026,1462317,NL0010545661,United States
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,17969749.24,0.14891,90382,US43300A2033,United States
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,17824395.8,0.14771,90964,US78410G1040,United States
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,17695345.99,0.14664,277487,IE00BY7QL619,United States
EA,ELECTRONIC ARTS INC,Communication,17610813.4,0.14594,140180,US2855121099,United States
FBIN,FORTUNE BRANDS INNOVATIONS INC,Industrials,17518809.36,0.14517,238092,US34964C1062,United States
NEM,NEWMONT,Materials,17446265.1,0.14457,452562,US6516391066,United States
PTC,PTC INC,Information Technology,17322087.3,0.14354,98589,US69370C1009,United States
WAT,WATERS CORP,Health Care,17050922.73,0.1413,57951,US9418481035,United States
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,16956147.39,0.14051,143247,US24703L2025,United States
HAS,HASBRO INC,Consumer Discretionary,16951022.78,0.14047,308537,US4180561072,United States
A,AGILENT TECHNOLOGIES INC,Health Care,16914707.04,0.14017,127716,US00846U1016,United States
TSCO,TRACTOR SUPPLY,Consumer Discretionary,16893757.65,0.13999,68299,US8923561067,United States
RF,REGIONS FINANCIAL CORP,Financials,16838503.0,0.13954,886237,US7591EP1005,United States
FI,FISERV INC,Financials,16434527.88,0.13619,111868,US3377381088,United States
MTN,VAIL RESORTS INC,Consumer Discretionary,16059310.74,0.13308,75177,US91879Q1094,United States
