symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,741765915.56,4.11991,1834828,US5949181045,United States
AAPL,APPLE INC,Information Technology,638824101.12,3.54816,3824378,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,544088225.61,3.02197,642591,US67066G1040,United States
AMZN,AMAZON COM INC,Consumer Discretionary,433152695.94,2.40582,2416877,US0231351067,United States
META,META PLATFORMS INC CLASS A,Communication,289499459.6,1.60794,576922,US30303M1027,United States
GOOGL,ALPHABET INC CLASS A,Communication,238631647.92,1.32541,1529592,US02079K3059,United States
GOOG,ALPHABET INC CLASS C,Communication,212196245.2,1.17858,1347620,US02079K1079,United States
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,158411278.23,0.87985,6373000,TW0002330008,Taiwan
LLY,ELI LILLY,Health Care,156587586.15,0.86972,209917,US5324571083,United States
AVGO,BROADCOM INC,Information Technology,145540502.99,0.80836,115601,US11135F1012,United States
JPM,JPMORGAN CHASE & CO,Financials,136143581.25,0.75617,751137,US46625H1005,United States
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,134778525.71,0.74859,337039,US0846707026,United States
XOM,EXXON MOBIL CORP,Energy,122459960.36,0.68017,1033243,US30231G1022,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,118684260.18,0.6592,240651,US91324P1021,United States
V,VISA INC CLASS A,Financials,112324927.66,0.62387,413918,US92826C8394,United States
TSLA,TESLA INC,Consumer Discretionary,111490946.6,0.61924,743620,US88160R1014,United States
NOVO B,NOVO NORDISK CLASS B,Health Care,103857866.52,0.57685,843016,DK0062498333,Denmark
MA,MASTERCARD INC CLASS A,Financials,98619883.0,0.54775,216890,US57636Q1040,United States
PG,PROCTER & GAMBLE,Consumer Staples,95444201.16,0.53012,606804,US7427181091,United States
ASML,ASML HOLDING NV,Information Technology,93422332.16,0.51889,104338,NL0010273215,Netherlands
JNJ,JOHNSON & JOHNSON,Health Care,91101782.52,0.506,625098,US4781601046,United States
HD,HOME DEPOT INC,Consumer Discretionary,86348669.99,0.4796,259391,US4370761029,United States
MRK,MERCK & CO INC,Health Care,82251690.15,0.45684,656805,US58933Y1055,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,81848516.25,0.4546,115077,US22160K1051,United States
ABBV,ABBVIE INC,Health Care,75551277.12,0.41963,458832,US00287Y1091,United States
CVX,CHEVRON CORP,Energy,73568330.01,0.40861,466893,US1667641005,United States
005930,SAMSUNG ELECTRONICS LTD,Information Technology,71457487.31,0.39689,1232507,KR7005930003,Korea (South)
NESN,NESTLE SA,Consumer Staples,70479565.0,0.39146,689451,CH0038863350,Switzerland
NFLX,NETFLIX INC,Communication,69569648.64,0.3864,113944,US64110L1061,United States
CRM,SALESFORCE INC,Information Technology,68743007.52,0.38181,252806,US79466L3024,United States
WMT,WALMART INC,Consumer Staples,68176911.46,0.37867,1150471,US9311421039,United States
700,TENCENT HOLDINGS LTD,Communication,66344511.62,0.36849,1706900,KYG875721634,China
BAC,BANK OF AMERICA CORP,Financials,66042186.77,0.36681,1846301,US0605051046,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,65183690.84,0.36204,420323,US0079031078,United States
7203,TOYOTA MOTOR CORP,Consumer Discretionary,64084734.03,0.35594,2751000,JP3633400001,Japan
