symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NOVO B,NOVO NORDISK CLASS B,Health Care,1261575259.43,2.46588,10240227,DK0062498333,Denmark
ASML,ASML HOLDING NV,Information Technology,1132673923.09,2.21393,1265018,NL0010273215,Netherlands
NESN,NESTLE SA,Consumer Staples,856473955.49,1.67407,8378270,CH0038863350,Switzerland
7203,TOYOTA MOTOR CORP,Consumer Discretionary,775188138.01,1.51519,33276920,JP3633400001,Japan
MC,LVMH,Consumer Discretionary,735655835.93,1.43792,866466,FR0000121014,France
SHEL,SHELL PLC,Energy,721589565.94,1.41042,20404701,GB00BP6MXD84,United Kingdom
AZN,ASTRAZENECA PLC,Health Care,659885460.43,1.28982,4858165,GB0009895292,United Kingdom
NOVN,NOVARTIS AG,Health Care,596014449.78,1.16497,6431907,CH0012005267,Switzerland
SAP,SAP,Information Technology,590692590.59,1.15457,3276715,DE0007164600,Germany
ROG,ROCHE HOLDING PAR AG,Health Care,531751167.64,1.03936,2204592,CH0012032048,Switzerland
TTE,TOTALENERGIES,Energy,488790406.92,0.95539,6803934,FR0000120271,France
HSBA,HSBC HOLDINGS PLC,Financials,482264529.91,0.94264,60114975,GB0005405286,United Kingdom
BHP,BHP GROUP LTD,Materials,461428439.68,0.90191,15905344,AU000000BHP4,Australia
SIE,SIEMENS N AG,Industrials,446022883.95,0.8718,2384826,DE0007236101,Germany
SU,SCHNEIDER ELECTRIC,Industrials,391846107.89,0.76591,1707642,FR0000121972,France
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,381143186.02,0.74499,5254938,AU000000CBA7,Australia
ULVR,UNILEVER PLC,Consumer Staples,368136583.47,0.71956,7846126,GB00B10RZP78,United Kingdom
8035,TOKYO ELECTRON LTD,Information Technology,351634767.99,0.68731,1479900,JP3571400005,Japan
ALV,ALLIANZ,Financials,343156895.28,0.67074,1229186,DE0008404005,Germany
BP.,BP PLC,Energy,342886677.06,0.67021,53768651,GB0007980591,United Kingdom
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,341842570.48,0.66817,34843380,JP3902900004,Japan
OR,LOREAL SA,Consumer Staples,340383061.49,0.66532,754116,FR0000120321,France
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,327466638.63,0.64007,1645896,FR0000120073,France
6758,SONY GROUP CORP,Consumer Discretionary,326598234.44,0.63837,3957700,JP3435000009,Japan
SAN,SANOFI SA,Health Care,324394071.58,0.63406,3571960,FR0000120578,France
AIR,AIRBUS GROUP,Industrials,318467791.32,0.62248,1860304,NL0000235190,France
UBSG,UBS GROUP AG,Financials,292045342.56,0.57083,10320595,CH0244767585,Switzerland
CSL,CSL LTD,Health Care,264706673.71,0.5174,1515912,AU000000CSL8,Australia
6501,HITACHI LTD,Industrials,258811945.03,0.50588,2909400,JP3788600009,Japan
6861,KEYENCE CORP,Information Technology,256515215.78,0.50139,610492,JP3236200006,Japan
GSK,GLAXOSMITHKLINE,Health Care,253844854.72,0.49617,12880655,GB00BN7SWP63,United Kingdom
DGE,DIAGEO PLC,Consumer Staples,245776334.95,0.4804,6995469,GB0002374006,United Kingdom
RMS,HERMES INTERNATIONAL,Consumer Discretionary,245592465.95,0.48004,99133,FR0000052292,France
SAN,BANCO SANTANDER SA,Financials,245303345.57,0.47947,50657474,ES0113900J37,Spain
REL,RELX PLC,Industrials,245108568.73,0.47909,5916057,GB00B2B0DG97,United Kingdom
ABBN,ABB LTD,Industrials,243970575.41,0.47687,5019751,CH0012221716,Switzerland
8058,MITSUBISHI CORP,Industrials,242735965.08,0.47445,10825800,JP3898400001,Japan
SAF,SAFRAN SA,Industrials,237946983.8,0.46509,1072570,FR0000073272,France
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,237563353.03,0.46434,1686894,CH0210483332,Switzerland
RIO,RIO TINTO PLC,Materials,236222836.65,0.46172,3533901,GB0007188757,United Kingdom
4063,SHIN ETSU CHEMICAL LTD,Materials,234266510.59,0.4579,5660800,JP3371200001,Japan
IBE,IBERDROLA SA,Utilities,231762684.13,0.45301,19256770,ES0144580Y14,Spain
BNP,BNP PARIBAS SA,Financials,228002588.74,0.44566,3268812,FR0000131104,France
DTE,DEUTSCHE TELEKOM N AG,Communication,227042169.13,0.44378,10170649,DE0005557508,Germany
ZURN,ZURICH INSURANCE GROUP AG,Financials,223056158.32,0.43599,459254,CH0011075394,Switzerland
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,222097032.17,0.43411,3987200,JP3890350006,Japan
1299,AIA GROUP LTD,Financials,218253017.6,0.4266,35721200,HK0000069689,Hong Kong
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,210403491.61,0.41126,9776328,AU000000NAB4,Australia
CS,AXA SA,Financials,205113571.82,0.40092,5691765,FR0000120628,France
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,202886851.28,0.39656,18273105,ES0113211835,Spain
EL,ESSILORLUXOTTICA SA,Health Care,201904059.03,0.39464,925664,FR0000121667,France
MBG,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,200703792.88,0.3923,2517805,DE0007100000,Germany
GLEN,GLENCORE PLC,Materials,193171834.48,0.37758,32676674,JE00B4T3BW64,United Kingdom
DG,VINCI SA,Industrials,190613901.15,0.37258,1575410,FR0000125486,France
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,188450776.58,0.36835,428227,DE0008430026,Germany
8031,MITSUI LTD,Industrials,187823053.19,0.36712,4053900,JP3893600001,Japan
6098,RECRUIT HOLDINGS LTD,Industrials,184655340.34,0.36093,4523500,JP3970300004,Japan
WBC,WESTPAC BANKING CORPORATION CORP,Financials,181667620.34,0.35509,10973791,AU000000WBC1,Australia
UCG,UNICREDIT,Financials,180771606.38,0.35334,4836117,IT0005239360,Italy
STLAM,STELLANTIS NV,Consumer Discretionary,180390477.89,0.35259,6952497,NL00150001Q9,Italy
BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,179791842.04,0.35142,6300189,GB0002875804,United Kingdom
ANZ,ANZ GROUP HOLDINGS LTD,Financials,173416136.18,0.33896,9437354,AU000000ANZ3,Australia
CRH,CRH PUBLIC LIMITED PLC,Materials,171699943.78,0.33561,2201747,IE0001827041,United Kingdom
8766,TOKIO MARINE HOLDINGS INC,Financials,170446041.71,0.33316,5641100,JP3910660004,Japan
4568,DAIICHI SANKYO LTD,Health Care,170268605.72,0.33281,5804185,JP3475350009,Japan
INGA,ING GROEP NV,Financials,168120419.16,0.32861,10402035,NL0011821202,Netherlands
7267,HONDA MOTOR LTD,Consumer Discretionary,167372221.5,0.32715,14494500,JP3854600008,Japan
RACE,FERRARI NV,Consumer Discretionary,165045478.76,0.3226,395537,NL0011585146,Italy
9984,SOFTBANK GROUP CORP,Communication,164467688.92,0.32147,3228900,JP3436100006,Japan
ISP,INTESA SANPAOLO,Financials,163805907.77,0.32018,45896096,IT0000072618,Italy
7974,NINTENDO LTD,Communication,160010721.42,0.31276,3260200,JP3756600007,Japan
8001,ITOCHU CORP,Industrials,159982926.43,0.3127,3730000,JP3143600009,Japan
ENEL,ENEL,Utilities,159687927.05,0.31213,25521853,IT0003128367,Italy
ITX,INDUSTRIA DE DISENO TEXTIL INDITEX,Consumer Discretionary,159533455.37,0.31183,3422939,ES0148396007,Spain
ABI,ANHEUSER-BUSCH INBEV SA,Consumer Staples,157294888.41,0.30745,2725600,BE0974293251,Belgium
BA.,BAE SYSTEMS PLC,Industrials,152425844.54,0.29793,9516291,GB0002634946,United Kingdom
BAS,BASF N,Materials,152405902.04,0.29789,2800671,DE000BASF111,Germany
D05,DBS GROUP HOLDINGS LTD,Financials,151940130.71,0.29698,5676600,SG1L01001701,Singapore
WES,WESFARMERS LTD,Consumer Discretionary,150614150.78,0.29439,3560861,AU000000WES1,Australia
NG.,NATIONAL GRID PLC,Utilities,149251147.62,0.29173,11643086,GB00BDR05C01,United Kingdom
LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,146728297.96,0.2868,1304744,GB00B0SWJX34,United Kingdom
9983,FAST RETAILING LTD,Consumer Discretionary,145446984.64,0.28429,549200,JP3802300008,Japan
8411,MIZUHO FINANCIAL GROUP INC,Financials,145419850.14,0.28424,7569616,JP3885780001,Japan
CPG,COMPASS GROUP PLC,Consumer Discretionary,144203872.43,0.28186,5342014,GB00BD6K4575,United Kingdom
ATCO A,ATLAS COPCO CLASS A,Industrials,140705037.57,0.27502,8428667,SE0017486889,Sweden
PRX,PROSUS NV,Consumer Discretionary,140221982.9,0.27408,4590020,NL0013654783,Netherlands
HOLN,HOLCIM LTD AG,Materials,139542496.59,0.27275,1635527,CH0012214059,Switzerland
MQG,MACQUARIE GROUP LTD DEF,Financials,137610444.6,0.26897,1147918,AU000000MQG1,Australia
SIKA,SIKA AG,Materials,136946248.66,0.26768,478394,CH0418792922,Switzerland
IFX,INFINEON TECHNOLOGIES AG,Information Technology,134859460.38,0.2636,4097887,DE0006231004,Germany
