symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NOVO B,NOVO NORDISK CLASS B,Health Care,551948377.35,4.7809,4480174,DK0062498333,Denmark
ASML,ASML HOLDING NV,Information Technology,495553459.4,4.29242,553455,NL0010273215,Netherlands
NESN,NESTLE SA,Consumer Staples,374713578.51,3.24572,3665554,CH0038863350,Switzerland
MC,LVMH,Consumer Discretionary,321854628.53,2.78786,379085,FR0000121014,France
AZN,ASTRAZENECA PLC,Health Care,289069321.58,2.50388,2128167,GB0009895292,United Kingdom
SAP,SAP,Information Technology,258432368.66,2.23851,1433587,DE0007164600,Germany
SU,SCHNEIDER ELECTRIC,Industrials,171435569.21,1.48495,747106,FR0000121972,France
7203,TOYOTA MOTOR CORP,Consumer Discretionary,169574123.2,1.46883,7279400,JP3633400001,Japan
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,166752945.37,1.44439,2299074,AU000000CBA7,Australia
8035,TOKYO ELECTRON LTD,Information Technology,153850606.31,1.33263,647500,JP3571400005,Japan
OR,LOREAL SA,Consumer Staples,149030543.99,1.29088,330176,FR0000120321,France
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,143088486.17,1.23941,719184,FR0000120073,France
6758,SONY GROUP CORP,Consumer Discretionary,142887243.33,1.23767,1731500,JP3435000009,Japan
AIR,AIRBUS GROUP,Industrials,139332055.38,1.20688,813897,NL0000235190,France
CSL,CSL LTD,Health Care,115811177.86,1.00314,663223,AU000000CSL8,Australia
6861,KEYENCE CORP,Information Technology,112249672.17,0.97229,267148,JP3236200006,Japan
DGE,DIAGEO PLC,Consumer Staples,108104579.0,0.93639,3076953,GB0002374006,United Kingdom
RMS,HERMES INTERNATIONAL,Consumer Discretionary,107717515.05,0.93303,43480,FR0000052292,France
REL,RELX PLC,Industrials,107146794.66,0.92809,2586146,GB00B2B0DG97,United Kingdom
ABBN,ABB LTD,Industrials,106738921.98,0.92456,2196178,CH0012221716,Switzerland
ULVR,UNILEVER PLC,Consumer Staples,104379215.1,0.90412,2224643,GB00B10RZP78,United Kingdom
SAF,SAFRAN SA,Industrials,104103497.0,0.90173,469257,FR0000073272,France
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,103805090.94,0.89915,737101,CH0210483332,Switzerland
4063,SHIN ETSU CHEMICAL LTD,Materials,102222602.43,0.88544,2470100,JP3371200001,Japan
1299,AIA GROUP LTD,Financials,95304689.37,0.82552,15598400,HK0000069689,Hong Kong
UBSG,UBS GROUP AG,Financials,83069913.7,0.71954,2935609,CH0244767585,Switzerland
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,82448837.52,0.71416,187353,DE0008430026,Germany
6098,RECRUIT HOLDINGS LTD,Industrials,80789517.87,0.69979,1979100,JP3970300004,Japan
8766,TOKIO MARINE HOLDINGS INC,Financials,74758043.01,0.64754,2474200,JP3910660004,Japan
4568,DAIICHI SANKYO LTD,Health Care,74494540.99,0.64526,2539400,JP3475350009,Japan
CRH,CRH PUBLIC LIMITED PLC,Materials,74277648.95,0.64338,952479,IE0001827041,United Kingdom
