symbol,name,sector,market_value,index_weight,amount_shares,isin,country
SHEL,SHELL PLC,Energy,477431446.42,2.90798,13500536,GB00BP6MXD84,United Kingdom
NOVN,NOVARTIS AG,Health Care,394346078.76,2.40192,4255597,CH0012005267,Switzerland
ROG,ROCHE HOLDING PAR AG,Health Care,351827058.44,2.14294,1458643,CH0012032048,Switzerland
TTE,TOTALENERGIES,Energy,323810981.1,1.9723,4507430,FR0000120271,France
7203,TOYOTA MOTOR CORP,Consumer Discretionary,256447957.06,1.562,11008680,JP3633400001,Japan
ALV,ALLIANZ,Financials,227045874.53,1.38291,813277,DE0008404005,Germany
BP.,BP PLC,Energy,226629910.52,1.38038,35538227,GB0007980591,United Kingdom
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,226175992.89,1.37761,23053700,JP3902900004,Japan
SAN,SANOFI SA,Health Care,214631583.64,1.3073,2363346,FR0000120578,France
HSBA,HSBC HOLDINGS PLC,Financials,207405105.3,1.26328,25853348,GB0005405286,United Kingdom
BHP,BHP GROUP LTD,Materials,198444228.66,1.2087,6840332,AU000000BHP4,Australia
SIE,SIEMENS N AG,Industrials,191605960.53,1.16705,1024492,DE0007236101,Germany
GSK,GLAXOSMITHKLINE,Health Care,168186032.41,1.0244,8534135,GB00BN7SWP63,United Kingdom
SAN,BANCO SANTANDER SA,Financials,162709750.26,0.99105,33601111,ES0113900J37,Spain
8058,MITSUBISHI CORP,Industrials,160604220.53,0.97822,7162800,JP3898400001,Japan
RIO,RIO TINTO PLC,Materials,156294126.2,0.95197,2338165,GB0007188757,United Kingdom
IBE,IBERDROLA SA,Utilities,153343109.66,0.934,12741020,ES0144580Y14,Spain
DTE,DEUTSCHE TELEKOM N AG,Communication,150219841.37,0.91497,6729293,DE0005557508,Germany
BNP,BNP PARIBAS SA,Financials,149554794.4,0.91092,2144127,FR0000131104,France
ZURN,ZURICH INSURANCE GROUP AG,Financials,147582479.99,0.89891,303860,CH0011075394,Switzerland
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,146948781.24,0.89505,2638100,JP3890350006,Japan
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,139386861.74,0.84899,6476564,AU000000NAB4,Australia
CS,AXA SA,Financials,135882396.61,0.82764,3770646,FR0000120628,France
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,134575208.79,0.81968,12120583,ES0113211835,Spain
MBG,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,132793378.51,0.80883,1665877,DE0007100000,Germany
GLEN,GLENCORE PLC,Materials,127284028.3,0.77527,21531186,JE00B4T3BW64,United Kingdom
DG,VINCI SA,Industrials,125775216.84,0.76608,1039523,FR0000125486,France
WBC,WESTPAC BANKING CORPORATION CORP,Financials,120350088.05,0.73304,7269852,AU000000WBC1,Australia
BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,119254234.73,0.72636,4178856,GB0002875804,United Kingdom
STLAM,STELLANTIS NV,Consumer Discretionary,119133347.9,0.72563,4591563,NL00150001Q9,Italy
ANZ,ANZ GROUP HOLDINGS LTD,Financials,114738796.91,0.69886,6244117,AU000000ANZ3,Australia
INGA,ING GROEP NV,Financials,111515068.96,0.67923,6899719,NL0011821202,Netherlands
6501,HITACHI LTD,Industrials,111303191.59,0.67794,1251200,JP3788600009,Japan
7267,HONDA MOTOR LTD,Consumer Discretionary,110739683.43,0.6745,9590100,JP3854600008,Japan
ISP,INTESA SANPAOLO,Financials,108380294.7,0.66013,30366624,IT0000072618,Italy
8001,ITOCHU CORP,Industrials,105747427.65,0.6441,2465500,JP3143600009,Japan
ENEL,ENEL,Utilities,105658692.99,0.64356,16886722,IT0003128367,Italy
BAS,BASF N,Materials,100837625.5,0.61419,1853032,DE000BASF111,Germany
NG.,NATIONAL GRID PLC,Utilities,98996902.5,0.60298,7722751,GB00BDR05C01,United Kingdom
8411,MIZUHO FINANCIAL GROUP INC,Financials,96214807.18,0.58603,5008320,JP3885780001,Japan
HOLN,HOLCIM LTD AG,Materials,92348305.47,0.56248,1082381,CH0012214059,Switzerland
MQG,MACQUARIE GROUP LTD DEF,Financials,90972755.68,0.5541,758876,AU000000MQG1,Australia
4502,TAKEDA PHARMACEUTICAL LTD,Health Care,86878523.52,0.52917,3285300,JP3463000004,Japan
ULVR,UNILEVER PLC,Consumer Staples,85156047.01,0.51868,1814938,GB00B10RZP78,United Kingdom
9433,KDDI CORP,Communication,85090735.65,0.51828,3107500,JP3496400007,Japan
DHL,DEUTSCHE POST AG,Industrials,84002933.67,0.51165,2058900,DE0005552004,Germany
BN,DANONE SA,Consumer Staples,83970917.62,0.51146,1334325,FR0000120644,France
VOLV B,VOLVO CLASS B,Industrials,83740705.43,0.51006,3134561,SE0000115446,Sweden
LLOY,LLOYDS BANKING GROUP PLC,Financials,83677927.74,0.50967,131834292,GB0008706128,United Kingdom
UCG,UNICREDIT,Financials,77814425.22,0.47396,2081741,IT0005239360,Italy
BMW,BMW AG,Consumer Discretionary,75449420.39,0.45955,662066,DE0005190003,Germany
NDA FI,NORDEA BANK,Financials,75412821.61,0.45933,6592791,FI4000297767,Finland
WDS,WOODSIDE ENERGY GROUP LTD,Energy,74710070.18,0.45505,3942873,AU0000224040,Australia
ENI,ENI,Energy,74028984.19,0.4509,4561714,IT0003132476,Italy
BARC,BARCLAYS PLC,Financials,71962724.7,0.43832,31428571,GB0031348658,United Kingdom
SGO,COMPAGNIE DE SAINT GOBAIN SA,Industrials,71793700.45,0.43729,946308,FR0000125007,France
AAL,ANGLO AMERICAN PLC,Materials,71738898.08,0.43695,2641725,GB00B1XZS820,United Kingdom
III,3I GROUP PLC,Financials,71598515.53,0.4361,2021421,GB00B1YW4409,United Kingdom
O39,OVERSEA-CHINESE BANKING LTD,Financials,70796072.11,0.43121,7032100,SG1S04926220,Singapore
9984,SOFTBANK GROUP CORP,Communication,70729918.19,0.43081,1388600,JP3436100006,Japan
9434,SOFTBANK CORP,Communication,70444591.11,0.42907,5973400,JP3732000009,Japan
UBSG,UBS GROUP AG,Financials,67650214.36,0.41205,2390692,CH0244767585,Switzerland
2914,JAPAN TOBACCO INC,Consumer Staples,65584769.6,0.39947,2488600,JP3726800000,Japan
RIO,RIO TINTO LTD,Materials,64900095.66,0.3953,770710,AU000000RIO1,Australia
6503,MITSUBISHI ELECTRIC CORP,Industrials,64628617.3,0.39365,4007700,JP3902400005,Japan
ENGI,ENGIE SA,Utilities,63922708.64,0.38935,3792057,FR0010208488,France
DBK,DEUTSCHE BANK AG,Financials,63460699.22,0.38653,4024105,DE0005140008,Germany
EOAN,E.ON N,Utilities,60930346.33,0.37112,4664116,DE000ENAG999,Germany
7011,MITSUBISHI HEAVY INDUSTRIES LTD,Industrials,59492532.26,0.36236,6646700,JP3900000005,Japan
7751,CANON INC,Information Technology,58844022.64,0.35841,2074500,JP3242800005,Japan
UOB,UNITED OVERSEAS BANK LTD,Financials,58055022.76,0.35361,2622200,SG1M31001969,Singapore
8801,MITSUI FUDOSAN LTD,Real Estate,57800249.64,0.35205,5537400,JP3893200000,Japan
AD,KONINKLIJKE AHOLD DELHAIZE NV,Consumer Staples,57117449.69,0.3479,1975082,NL0011794037,Netherlands
BAYN,BAYER AG,Health Care,57080013.89,0.34767,2041486,DE000BAY0017,Germany
FMG,FORTESCUE LTD,Materials,56778786.23,0.34583,3515858,AU000000FMG4,Australia
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Consumer Discretionary,55700029.68,0.33926,428647,DE0007664039,Germany
6301,KOMATSU LTD,Industrials,54794099.27,0.33374,1918600,JP3304200003,Japan
