symbol,name,sector,market_value,index_weight,amount_shares,isin,country
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,1467038073.3,8.68952,59020000,TW0002330008,Taiwan
005930,SAMSUNG ELECTRONICS LTD,Information Technology,661244119.6,3.91666,11405215,KR7005930003,Korea (South)
700,TENCENT HOLDINGS LTD,Communication,614630263.49,3.64056,15813100,KYG875721634,China
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,337216358.5,1.99739,38894356,KYG017191142,China
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,254895653.27,1.50979,7271465,INE002A01018,India
000660,SK HYNIX INC,Information Technology,173378792.09,1.02695,1305762,KR7000660001,Korea (South)
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,162576560.1,0.96297,1429873,US7223041028,China
ICICIBC,ICICI BANK LTD,Financials,159061609.86,0.94215,12590839,INE090A01021,India
3690,MEITUAN,Consumer Discretionary,151481264.88,0.89725,12136400,KYG596691041,China
939,CHINA CONSTRUCTION BANK CORP H,Financials,142397593.53,0.84345,229463760,CNE1000002H1,China
2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,135917552.8,0.80506,29704873,TW0002317005,Taiwan
INFY,INFOSYS LTD,Information Technology,134561845.13,0.79703,7921182,INE009A01021,India
HDFCB,HDFC BANK LTD,Financials,119907693.38,0.71023,6702240,INE040A01034,India
2454,MEDIATEK INC,Information Technology,119601023.33,0.70842,3684338,TW0002454006,Taiwan
1120,AL RAJHI BANK,Financials,100776557.26,0.59692,4690236,SA0007879113,Saudi Arabia
TCS,TATA CONSULTANCY SERVICES LTD,Information Technology,100409388.24,0.59474,2172146,INE467B01029,India
VALE3,CIA VALE DO RIO DOCE  SH,Materials,96370055.06,0.57082,8113697,BRVALEACNOR0,Brazil
005935,SAMSUNG ELECTRONICS NON VOTING PRE,Information Technology,95081960.23,0.56319,1968971,KR7005931001,Korea (South)
PETR4,PETROLEO BRASILEIRO PREF SA,Energy,86427418.9,0.51192,11383261,BRPETRACNPR6,Brazil
9999,NETEASE INC,Communication,84486816.15,0.50043,4630250,KYG6427A1022,China
BHARTIARTL,BHARTI AIRTEL LTD,Communication,81504096.28,0.48276,5379705,INE397D01024,India
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Financials,81385554.5,0.48206,155079085,CNE1000003G1,China
3988,BANK OF CHINA LTD H,Financials,80691644.69,0.47795,188639000,CNE1000001Z5,China
BBCA,BANK CENTRAL ASIA,Financials,77506671.56,0.45909,132313500,ID1000109507,Indonesia
1810,XIAOMI CORP,Information Technology,76819335.64,0.45501,36728600,KYG9830T1067,China
