symbol,name,sector,market_value,index_weight,amount_shares,isin,country
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,1480485508.03,11.68858,59561000,TW0002330008,Taiwan
005930,SAMSUNG ELECTRONICS LTD,Information Technology,669190842.78,5.28333,11542281,KR7005930003,Korea (South)
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,257322072.46,2.03158,7340684,INE002A01018,India
000660,SK HYNIX INC,Information Technology,175162157.33,1.38292,1319193,KR7000660001,Korea (South)
ICICIBC,ICICI BANK LTD,Financials,157872163.49,1.24642,12496686,INE090A01021,India
2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,137785892.94,1.08783,30113200,TW0002317005,Taiwan
INFY,INFOSYS LTD,Information Technology,136213226.39,1.07542,8018393,INE009A01021,India
HDFCB,HDFC BANK LTD,Financials,121507657.72,0.95931,6791670,INE040A01034,India
2454,MEDIATEK INC,Information Technology,119103120.99,0.94033,3669000,TW0002454006,Taiwan
1120,AL RAJHI BANK,Financials,101770563.77,0.80349,4736498,SA0007879113,Saudi Arabia
TCS,TATA CONSULTANCY SERVICES LTD,Information Technology,101120712.28,0.79836,2187534,INE467B01029,India
VALE3,CIA VALE DO RIO DOCE  SH,Materials,97741164.48,0.77168,8229135,BRVALEACNOR0,Brazil
005935,SAMSUNG ELECTRONICS NON VOTING PRE,Information Technology,96100013.77,0.75872,1990053,KR7005931001,Korea (South)
PETR4,PETROLEO BRASILEIRO PREF SA,Energy,87302120.56,0.68926,11498467,BRPETRACNPR6,Brazil
BHARTIARTL,BHARTI AIRTEL LTD,Communication,82574494.64,0.65193,5450357,INE397D01024,India
BBCA,BANK CENTRAL ASIA,Financials,78509059.2,0.61984,134024700,ID1000109507,Indonesia
NPN,NASPERS LIMITED N LTD,Consumer Discretionary,74676424.43,0.58958,441692,ZAE000325783,South Africa
1180,THE SAUDI NATIONAL BANK,Financials,71634542.65,0.56556,7127732,SA13L050IE10,Saudi Arabia
PETR3,PETROLEO BRASILEIRO SA PETROBRAS,Energy,70429250.21,0.55605,9004993,BRPETRACNOR9,Brazil
ITUB4,ITAU UNIBANCO HOLDING PREF SA,Financials,70257526.5,0.55469,11621609,BRITUBACNPR1,Brazil
LT,LARSEN AND TOUBRO LTD,Industrials,69003049.44,0.54479,1623494,INE018A01030,India
AXISBANK,AXIS BANK LTD,Financials,66301699.57,0.52346,5409432,INE238A01034,India
GFNORTEO,GPO FINANCE BANORTE,Financials,63876833.34,0.50431,6253486,MXP370711014,Mexico
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Financials,56724833.39,0.44785,2652384,INE237A01028,India
005380,HYUNDAI MOTOR,Consumer Discretionary,55990853.27,0.44205,332782,KR7005380001,Korea (South)
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Consumer Staples,55875480.36,0.44114,4707083,MXP320321310,Mexico
BBRI,BANK RAKYAT INDONESIA (PERSERO),Financials,55847562.67,0.44092,164992571,ID1000118201,Indonesia
BAJFINANCE,BAJAJ FINANCE LTD,Financials,55149972.9,0.43541,668423,INE296A01024,India
M&M,MAHINDRA AND MAHINDRA LTD,Consumer Discretionary,54693894.35,0.43181,2256584,INE101A01026,India
KFH,KUWAIT FINANCE HOUSE,Financials,53629697.85,0.42341,22735451,KW0EQ0100085,Kuwait
HINDUNILVR,HINDUSTAN UNILEVER LTD,Consumer Staples,53000355.87,0.41844,1999269,INE030A01027,India
NBK,NATIONAL BANK OF KUWAIT,Financials,52636143.33,0.41557,19107726,KW0EQ0100010,Kuwait
000270,KIA CORPORATION CORP,Consumer Discretionary,51673781.71,0.40797,632313,KR7000270009,Korea (South)
2222,SAUDI ARABIAN OIL,Energy,51340496.75,0.40534,6441086,SA14TG012N13,Saudi Arabia
MARUTI,MARUTI SUZUKI INDIA LTD,Consumer Discretionary,50824177.93,0.40126,342295,INE585B01010,India
7010,SAUDI TELECOM,Communication,50822555.72,0.40125,4857212,SA0007879543,Saudi Arabia
2382,QUANTA COMPUTER INC,Information Technology,50563896.06,0.39921,6529000,TW0002382009,Taiwan
005490,POSCO,Materials,49380399.87,0.38986,173838,KR7005490008,Korea (South)
068270,CELLTRION INC,Health Care,47671432.17,0.37637,369568,KR7068270008,Korea (South)
2010,SAUDI BASIC INDUSTRIES,Materials,47053835.6,0.37149,2181809,SA0007879121,Saudi Arabia
TATAMOTORS,TATA MOTORS LTD,Consumer Discretionary,46730822.0,0.36894,4019339,INE155A01022,India
WALMEX*,WALMART DE MEXICO V,Consumer Staples,46709029.22,0.36877,12648851,MX01WA000038,Mexico
1211,SAUDI ARABIAN MINING,Materials,45936201.75,0.36267,3133016,SA123GA0ITH7,Saudi Arabia
GMEXICOB,GRUPO MEXICO B,Materials,45309780.04,0.35773,7467986,MXP370841019,Mexico
2308,DELTA ELECTRONICS INC,Information Technology,44928258.95,0.35471,4703000,TW0002308004,Taiwan
NTPC,NTPC LTD,Utilities,44457022.19,0.35099,10577296,INE733E01010,India
105560,KB FINANCIAL GROUP INC,Financials,43303240.47,0.34188,928956,KR7105560007,Korea (South)
QNBK,QATAR NATIONAL BANK,Financials,43262575.75,0.34156,11171563,QA0006929895,Qatar
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,Health Care,42403205.94,0.33478,2336210,INE044A01036,India
2303,UNITED MICRO ELECTRONICS CORP,Information Technology,42200250.42,0.33318,27191000,TW0002303005,Taiwan
2891,CTBC FINANCIAL HOLDING LTD,Financials,41882162.9,0.33066,42735000,TW0002891009,Taiwan
035420,NAVER CORP,Communication,41350219.53,0.32646,314177,KR7035420009,Korea (South)
EAND,EMIRATES TELECOM,Communication,40979596.39,0.32354,8287311,AEE000401019,United Arab Emirates
HCLTECH,HCL TECHNOLOGIES LTD,Information Technology,40255682.12,0.31782,2292812,INE860A01027,India
AMXB,AMERICA MOVIL B,Communication,39712169.15,0.31353,44916671,MX01AM050019,Mexico
006400,SAMSUNG SDI LTD,Information Technology,39176034.45,0.3093,132643,KR7006400006,Korea (South)
2881,FUBON FINANCIAL HOLDING LTD,Financials,38673882.21,0.30533,18867663,TW0002881000,Taiwan
SBIN,STATE BANK OF INDIA,Financials,38473334.51,0.30375,4315659,INE062A01020,India
BMRI,BANK MANDIRI (PERSERO),Financials,38192877.9,0.30154,90848500,ID1000095003,Indonesia
GFI,GOLD FIELDS LTD,Materials,37968582.71,0.29977,2143934,ZAE000018123,South Africa
POWERGRID,POWER GRID CORPORATION OF INDIA LT,Utilities,37801555.4,0.29845,11275181,INE752E01010,India
FSR,FIRSTRAND LTD,Financials,37673668.72,0.29744,12087863,ZAE000066304,South Africa
FAB,FIRST ABU DHABI BANK,Financials,37344890.23,0.29484,10664783,AEN000101016,United Arab Emirates
EMAAR,EMAAR PROPERTIES,Real Estate,36516338.88,0.2883,16003133,AEE000301011,United Arab Emirates
ITC,ITC LTD,Consumer Staples,36295405.17,0.28656,7239692,INE154A01025,India
TITAN,TITAN COMPANY LTD,Consumer Discretionary,36267502.2,0.28634,859554,INE280A01028,India
2412,CHUNGHWA TELECOM LTD,Communication,35112024.86,0.27721,9159000,TW0002412004,Taiwan
2882,CATHAY FINANCIAL HOLDING LTD,Financials,34538914.61,0.27269,23058379,TW0002882008,Taiwan
3711,ASE TECHNOLOGY HOLDING LTD,Information Technology,34331019.77,0.27105,7354000,TW0003711008,Taiwan
TATASTEEL,TATA STEEL LTD,Materials,34304624.23,0.27084,17907046,INE081A01020,India
2886,MEGA FINANCIAL HOLDING LTD,Financials,33994379.86,0.26839,28050133,TW0002886009,Taiwan
BBDC4,BANCO BRADESCO PREF SA,Financials,33317381.56,0.26304,12699318,BRBBDCACNPR8,Brazil
051910,LG CHEM LTD,Materials,33079292.76,0.26116,119990,KR7051910008,Korea (South)
ZOMATO,ZOMATO LTD,Consumer Discretionary,32824889.34,0.25916,14807756,INE758T01015,India
055550,SHINHAN FINANCIAL GROUP LTD,Financials,32276260.17,0.25482,1057606,KR7055550008,Korea (South)
ULTRACEMCO,ULTRATECH CEMENT LTD,Materials,31550253.19,0.24909,280931,INE481G01011,India
ASIANPAINT,ASIAN PAINTS LTD,Materials,31220572.12,0.24649,929003,INE021A01026,India
JIOFIN,JIO FINANCIAL SERVICES LTD,Financials,31148609.4,0.24592,6877245,INE758E01017,India
373220,LG ENERGY SOLUTION LTD,Industrials,30986794.13,0.24464,112847,KR7373220003,Korea (South)
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,Financials,30748449.78,0.24276,2122082,PLPKO0000016,Poland
WEGE3,WEG SA,Industrials,29558505.62,0.23337,4019191,BRWEGEACNOR0,Brazil
CEMEXCPO,CEMEX CPO,Materials,29355662.88,0.23177,36486954,MXP225611567,Mexico
PBLOF,PUBLIC BANK,Financials,29292955.79,0.23127,33846100,MYL1295OO004,Malaysia
B3SA3,B3 BRASIL BOLSA BALCAO SA,Financials,29109665.17,0.22982,13714990,BRB3SAACNOR6,Brazil
2884,E.SUN FINANCIAL HOLDING LTD,Financials,28767002.27,0.22712,34462336,TW0002884004,Taiwan
SBK,STANDARD BANK GROUP,Financials,28193634.87,0.22259,3224084,ZAE000109815,South Africa
086790,HANA FINANCIAL GROUP INC,Financials,27665066.46,0.21842,709958,KR7086790003,Korea (South)
1216,UNI-PRESIDENT ENTERPRISES CORP,Consumer Staples,27552123.17,0.21753,11604000,TW0001216000,Taiwan
