symbol,name,sector,market_value,index_weight,amount_shares,isin,country
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,786546325.95,8.40142,22437982,INE002A01018,India
ICICIBC,ICICI BANK LTD,Financials,483033485.17,5.15947,38235479,INE090A01021,India
INFY,INFOSYS LTD,Information Technology,415697261.15,4.44023,24470634,INE009A01021,India
HDFCB,HDFC BANK LTD,Financials,371188900.87,3.96482,20747602,INE040A01034,India
TCS,TATA CONSULTANCY SERVICES LTD,Information Technology,308150861.97,3.29148,6666196,INE467B01029,India
BHARTIARTL,BHARTI AIRTEL LTD,Communication,251222110.32,2.6834,16581999,INE397D01024,India
LT,LARSEN AND TOUBRO LTD,Industrials,210975510.11,2.25351,4963802,INE018A01030,India
AXISBANK,AXIS BANK LTD,Financials,198803270.19,2.1235,16219988,INE238A01034,India
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Financials,172671870.74,1.84438,8073926,INE237A01028,India
BAJFINANCE,BAJAJ FINANCE LTD,Financials,169110038.04,1.80633,2049630,INE296A01024,India
M&M,MAHINDRA AND MAHINDRA LTD,Consumer Discretionary,166595351.4,1.77947,6873462,INE101A01026,India
HINDUNILVR,HINDUSTAN UNILEVER LTD,Consumer Staples,160666788.6,1.71615,6060641,INE030A01027,India
MARUTI,MARUTI SUZUKI INDIA LTD,Consumer Discretionary,154818230.8,1.65368,1042683,INE585B01010,India
TATAMOTORS,TATA MOTORS LTD,Consumer Discretionary,142360307.25,1.52061,12244474,INE155A01022,India
NTPC,NTPC LTD,Utilities,135163794.06,1.44374,32158417,INE733E01010,India
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,Health Care,128380011.71,1.37128,7073113,INE044A01036,India
HCLTECH,HCL TECHNOLOGIES LTD,Information Technology,122616589.33,1.30972,6983779,INE860A01027,India
SBIN,STATE BANK OF INDIA,Financials,117520522.95,1.25528,13182598,INE062A01020,India
POWERGRID,POWER GRID CORPORATION OF INDIA LT,Utilities,114901878.8,1.22731,34272121,INE752E01010,India
ITC,ITC LTD,Consumer Staples,110639618.86,1.18179,22068820,INE154A01025,India
TITAN,TITAN COMPANY LTD,Consumer Discretionary,110425644.34,1.1795,2617131,INE280A01028,India
TATASTEEL,TATA STEEL LTD,Materials,104171201.86,1.11269,54377465,INE081A01020,India
ZOMATO,ZOMATO LTD,Consumer Discretionary,99617508.61,1.06405,44938819,INE758T01015,India
ULTRACEMCO,ULTRATECH CEMENT LTD,Materials,95575263.03,1.02088,851025,INE481G01011,India
JIOFIN,JIO FINANCIAL SERVICES LTD,Financials,95432084.82,1.01935,21070277,INE758E01017,India
ASIANPAINT,ASIAN PAINTS LTD,Materials,95027250.7,1.01502,2827642,INE021A01026,India
ONGC,OIL AND NATURAL GAS LTD,Energy,76059146.95,0.81242,23178758,INE213A01029,India
