symbol,name,sector,market_value,index_weight,amount_shares,isin,country
AVGO,BROADCOM INC,Information Technology,498991873.57,2.12734,396343,US11135F1012,United States
MRK,MERCK & CO INC,Health Care,405479086.25,1.72867,3237875,US58933Y1055,United States
WM,WASTE MANAGEMENT INC,Industrials,398285723.58,1.698,1942194,US94106L1098,United States
RSG,REPUBLIC SERVICES INC,Industrials,393893603.28,1.67928,2084424,US7607591002,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,390880754.43,1.66643,2153969,US4592001014,United States
PGR,PROGRESSIVE CORP,Financials,389662223.5,1.66124,1857746,US7433151039,United States
WCN,WASTE CONNECTIONS INC,Industrials,389212369.28,1.65932,2368048,CA94106B1013,United States
APH,AMPHENOL CORP CLASS A,Information Technology,377692207.2,1.6102,3406315,US0320951017,United States
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,367944787.35,1.56865,920115,US0846707026,United States
TMUS,T MOBILE US INC,Communication,360114518.7,1.53527,2238822,US8725901040,United States
MSFT,MICROSOFT CORP,Information Technology,356096782.53,1.51814,880839,US5949181045,United States
MSI,MOTOROLA SOLUTIONS INC,Information Technology,353313023.14,1.50627,1040809,US6200763075,United States
VZ,VERIZON COMMUNICATIONS INC,Communication,345749405.42,1.47402,8615734,US92343V1044,United States
DUK,DUKE ENERGY CORP,Utilities,345096183.75,1.47124,3597375,US26441C2044,United States
ROP,ROPER TECHNOLOGIES INC,Information Technology,334081962.89,1.42428,633607,US7766961061,United States
CSCO,CISCO SYSTEMS INC,Information Technology,331363253.87,1.41269,6887617,US17275R1023,United States
WMT,WALMART INC,Consumer Staples,325721582.58,1.38864,5496483,US9311421039,United States
MCD,MCDONALDS CORP,Consumer Discretionary,310636297.12,1.32433,1146344,US5801351017,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,309225986.42,1.31831,1889326,US8825081040,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,307565960.0,1.31124,973310,IE00B4BNMY34,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,306419638.52,1.30635,621314,US91324P1021,United States
PG,PROCTER & GAMBLE,Consumer Staples,302686044.78,1.29043,1924382,US7427181091,United States
JNJ,JOHNSON & JOHNSON,Health Care,300069769.86,1.27928,2058939,US4781601046,United States
PEP,PEPSICO INC,Consumer Staples,298344938.15,1.27193,1731845,US7134481081,United States
SO,SOUTHERN,Utilities,289160575.0,1.23277,4097500,US8425871071,United States
ED,CONSOLIDATED EDISON INC,Utilities,282972881.7,1.20639,3113013,US2091151041,United States
MCK,MCKESSON CORP,Health Care,276825083.37,1.18018,533577,US58155Q1031,United States
CB,CHUBB LTD,Financials,276806300.14,1.1801,1128026,CH0044328745,United States
ABBV,ABBVIE INC,Health Care,275411633.28,1.17415,1672608,US00287Y1091,United States
AJG,ARTHUR J GALLAGHER,Financials,271383707.91,1.15698,1159809,US3635761097,United States
MMC,MARSH & MCLENNAN INC,Financials,271329875.95,1.15675,1345015,US5717481023,United States
AZO,AUTOZONE INC,Consumer Discretionary,250908789.47,1.06969,84391,US0533321024,United States
TRV,TRAVELERS COMPANIES INC,Financials,248684666.58,1.06021,1181849,US89417E1091,United States
GILD,GILEAD SCIENCES INC,Health Care,234356450.88,0.99913,3542268,US3755581036,United States
HSY,HERSHEY FOODS,Consumer Staples,217907052.48,0.929,1178768,US4278661081,United States
ORCL,ORACLE CORP,Information Technology,214431336.0,0.91418,1848546,US68389X1054,United States
V,VISA INC CLASS A,Financials,208385565.74,0.8884,767902,US92826C8394,United States
CBOE,CBOE GLOBAL MARKETS INC,Financials,207302923.38,0.88379,1167838,US12503M1080,United States
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,194487794.93,0.82915,1324037,US49338L1035,United States
AAPL,APPLE INC,Information Technology,193602366.72,0.82538,1159018,US0378331005,United States
GIS,GENERAL MILLS INC,Consumer Staples,193515355.53,0.82501,2800917,US3703341046,United States
LLY,ELI LILLY,Health Care,191320510.05,0.81565,256479,US5324571083,United States
REGN,REGENERON PHARMACEUTICALS INC,Health Care,190155248.96,0.81068,212704,US75886F1075,United States
LMT,LOCKHEED MARTIN CORP,Industrials,188674399.02,0.80437,413678,US5398301094,United States
NEM,NEWMONT,Materials,183792753.3,0.78356,4767646,US6516391066,United States
EA,ELECTRONIC ARTS INC,Communication,180111585.21,0.76786,1433667,US2855121099,United States
VRSN,VERISIGN INC,Information Technology,178964519.52,0.76297,978162,US92343E1029,United States
BMY,BRISTOL MYERS SQUIBB,Health Care,178960580.4,0.76296,3705188,US1101221083,United States
MPC,MARATHON PETROLEUM CORP,Energy,178686684.96,0.76179,916248,US56585A1025,United States
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,178006271.45,0.75889,2651665,US1924461023,United States
HD,HOME DEPOT INC,Consumer Discretionary,177716322.51,0.75765,533859,US4370761029,United States
COR,CENCORA INC,Health Care,175451077.2,0.748,739364,US03073E1055,United States
K,KELLANOVA,Consumer Staples,171407681.72,0.73076,3031618,US4878361082,United States
XEL,XCEL ENERGY INC,Utilities,171319626.24,0.73038,3186749,US98389B1008,United States
WEC,WEC ENERGY GROUP INC,Utilities,168596046.12,0.71877,2095923,US92939U1060,United States
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,165636860.04,0.70615,150434,US67103H1077,United States
MA,MASTERCARD INC CLASS A,Financials,163545131.9,0.69724,359677,US57636Q1040,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,161872950.24,0.69011,411388,US92532F1003,United States
BDX,BECTON DICKINSON,Health Care,158578371.4,0.67606,680156,US0758871091,United States
KDP,KEURIG DR PEPPER INC,Consumer Staples,156876926.69,0.66881,5039413,US49271V1008,United States
KR,KROGER,Consumer Staples,155415008.51,0.66258,2796743,US5010441013,United States
GDDY,GODADDY INC CLASS A,Information Technology,154535827.2,0.65883,1273472,US3802371076,United States
