symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NVDA,NVIDIA CORP,Information Technology,632289159.6,6.44293,746760,US67066G1040,United States
META,META PLATFORMS INC CLASS A,Communication,574997566.0,5.85914,1145870,US30303M1027,United States
AVGO,BROADCOM INC,Information Technology,548223418.53,5.58631,435447,US11135F1012,United States
LLY,ELI LILLY,Health Care,517188021.6,5.27007,693328,US5324571083,United States
AMZN,AMAZON COM INC,Consumer Discretionary,465132175.08,4.73963,2595314,US0231351067,United States
MSFT,MICROSOFT CORP,Information Technology,440013127.78,4.48367,1088414,US5949181045,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,295514244.8,3.01125,1905560,US0079031078,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,286670023.75,2.92112,403051,US22160K1051,United States
NFLX,NETFLIX INC,Communication,258531863.04,2.6344,423434,US64110L1061,United States
CRM,SALESFORCE INC,Information Technology,238961936.4,2.43499,878795,US79466L3024,United States
ADBE,ADOBE INC,Information Technology,219124926.2,2.23285,463090,US00724F1012,United States
GE,GE AEROSPACE,Industrials,213233689.14,2.17282,1394231,US3696043013,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,165728747.79,1.68875,913257,US4592001014,United States
ETN,EATON PLC,Industrials,155961253.38,1.58922,504827,IE00B8KQN827,United States
NOW,SERVICENOW INC,Information Technology,152102401.92,1.5499,207972,US81762P1021,United States
UBER,UBER TECHNOLOGIES INC,Industrials,149362448.5,1.52198,2094845,US90353T1007,United States
AMGN,AMGEN INC,Health Care,148390164.5,1.51207,564758,US0311621009,United States
PGR,PROGRESSIVE CORP,Financials,139652598.75,1.42304,665805,US7433151039,United States
INTU,INTUIT INC,Information Technology,137566277.22,1.40178,226119,US4612021034,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,136200424.0,1.38786,431014,IE00B4BNMY34,United States
INTC,INTEL CORPORATION CORP,Information Technology,133265284.32,1.35795,3803233,US4581401001,United States
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,111911747.64,1.14036,32626,US09857L1089,United States
LRCX,LAM RESEARCH CORP,Information Technology,103779632.16,1.0575,116748,US5128071082,United States
PANW,PALO ALTO NETWORKS INC,Information Technology,101900317.56,1.03835,362454,US6974351057,United States
SNPS,SYNOPSYS INC,Information Technology,101314346.24,1.03238,194944,US8716071076,United States
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,96141290.0,0.97967,326900,US22788C1053,United States
ISRG,INTUITIVE SURGICAL INC,Health Care,95812488.75,0.97631,257125,US46120E6023,United States
KLAC,KLA CORP,Information Technology,90061311.78,0.91771,139799,US4824801009,United States
BSX,BOSTON SCIENTIFIC CORP,Health Care,88630534.26,0.90313,1314603,US1011371077,United States
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,87610338.3,0.89274,306437,US1273871087,United States
ANET,ARISTA NETWORKS INC,Information Technology,86781821.37,0.88429,337423,US0404131064,United States
CEG,CONSTELLATION ENERGY CORP,Utilities,84861686.16,0.86473,461556,US21037T1097,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,83282796.36,0.84864,211657,US92532F1003,United States
SYK,STRYKER CORP,Health Care,80597888.1,0.82128,246138,US8636671013,United States
MPC,MARATHON PETROLEUM CORP,Energy,78770333.18,0.80266,403909,US56585A1025,United States
MU,MICRON TECHNOLOGY INC,Information Technology,77171593.59,0.78637,689463,US5951121038,United States
SMCI,SUPER MICRO COMPUTER INC,Information Technology,75999801.92,0.77443,81854,US86800U1043,United States
MCK,MCKESSON CORP,Health Care,71552718.77,0.72911,137917,US58155Q1031,United States
REGN,REGENERON PHARMACEUTICALS INC,Health Care,69049105.63,0.7036,77237,US75886F1075,United States
TDG,TRANSDIGM GROUP INC,Industrials,67646557.5,0.68931,55745,US8936411003,United States
