symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NVDA,NVIDIA CORP,Information Technology,2768556270.51,6.72582,3269781,US67066G1040,United States
META,META PLATFORMS INC CLASS A,Communication,1971812562.2,4.79024,3929479,US30303M1027,United States
V,VISA INC CLASS A,Financials,1901758517.67,4.62006,7007991,US92826C8394,United States
MSFT,MICROSOFT CORP,Information Technology,1765428897.85,4.28886,4366955,US5949181045,United States
MA,MASTERCARD INC CLASS A,Financials,1688691232.6,4.10244,3713858,US57636Q1040,United States
LLY,ELI LILLY,Health Care,1573709828.4,3.82311,2109672,US5324571083,United States
AVGO,BROADCOM INC,Information Technology,1564997591.42,3.80194,1243058,US11135F1012,United States
AAPL,APPLE INC,Information Technology,1438110835.2,3.49369,8609380,US0378331005,United States
COP,CONOCOPHILLIPS,Energy,1034544369.33,2.51328,8094393,US20825C1045,United States
NKE,NIKE INC CLASS B,Consumer Discretionary,952560821.7,2.31411,9949455,US6541061031,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,851608075.0,2.06886,1197340,US22160K1051,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,839799726.68,2.04018,1702826,US91324P1021,United States
GOOGL,ALPHABET INC CLASS A,Communication,809010136.3,1.96538,5185630,US02079K3059,United States
JNJ,JOHNSON & JOHNSON,Health Care,719080868.52,1.74691,4933998,US4781601046,United States
GOOG,ALPHABET INC CLASS C,Communication,718527927.86,1.74556,4563241,US02079K1079,United States
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,640698490.25,1.55649,220325,US1696561059,United States
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,637602753.69,1.54897,2634831,US0530151036,United States
KO,COCA-COLA,Consumer Staples,598246778.97,1.45336,10155267,US1912161007,United States
PEP,PEPSICO INC,Consumer Staples,592699069.48,1.43988,3440524,US7134481081,United States
ADBE,ADOBE INC,Information Technology,590782264.48,1.43522,1248536,US00724F1012,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,590707648.0,1.43504,1869328,IE00B4BNMY34,United States
LIN,LINDE PLC,Materials,551774979.96,1.34046,1235972,IE000S9YS762,United States
CSCO,CISCO SYSTEMS INC,Information Technology,551036304.25,1.33867,11453675,US17275R1023,United States
LMT,LOCKHEED MARTIN CORP,Industrials,538662357.96,1.30861,1181044,US5398301094,United States
NFLX,NETFLIX INC,Communication,526162901.76,1.27824,861771,US64110L1061,United States
ABBV,ABBVIE INC,Health Care,502662027.82,1.22115,3052727,US00287Y1091,United States
QCOM,QUALCOMM INC,Information Technology,495367339.2,1.20343,3068430,US7475251036,United States
AMAT,APPLIED MATERIAL INC,Information Technology,493970767.36,1.20003,2542048,US0382221051,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,492230978.2,1.19581,3007460,US8825081040,United States
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,407932953.74,0.99102,1173874,US5500211090,United States
LRCX,LAM RESEARCH CORP,Information Technology,389146064.08,0.94538,437774,US5128071082,United States
SRE,SEMPRA,Utilities,376786085.56,0.91535,5505349,US8168511090,United States
DHI,D R HORTON INC,Consumer Discretionary,357521245.2,0.86855,2450790,US23331A1097,United States
BLK,BLACKROCK INC,Financials,346629873.9,0.84209,463843,US09247X1019,United States
ITW,ILLINOIS TOOL INC,Industrials,320333788.8,0.77821,1287360,US4523081093,United States
MMM,3M,Industrials,312079263.04,0.75815,3411448,US88579Y1010,United States
MMC,MARSH & MCLENNAN INC,Financials,309597048.3,0.75212,1534710,US5717481023,United States
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,300289699.5,0.72951,4612745,US7445731067,United States
KLAC,KLA CORP,Information Technology,299275622.1,0.72705,464555,US4824801009,United States
LEN,LENNAR A CORP,Consumer Discretionary,288836493.66,0.70169,1894134,US5260571048,United States
PLD,PROLOGIS REIT INC,Real Estate,277999583.95,0.67536,2655455,US74340W1036,United States
NVR,NVR INC,Consumer Discretionary,251540407.08,0.61108,32658,US62944T1051,United States
PFE,PFIZER INC,Health Care,247317591.72,0.60082,9740748,US7170811035,United States
FTNT,FORTINET INC,Information Technology,232808854.02,0.56558,3635934,US34959E1091,United States
PSA,PUBLIC STORAGE REIT,Real Estate,229648948.2,0.5579,882315,US74460D1090,United States
TSCO,TRACTOR SUPPLY,Consumer Discretionary,226748960.55,0.55086,916713,US8923561067,United States
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,216209301.9,0.52525,756241,US1273871087,United States
DVN,DEVON ENERGY CORP,Energy,211770739.5,0.51447,4117650,US25179M1036,United States
CTAS,CINTAS CORP,Industrials,207275488.68,0.50355,312897,US1729081059,United States
ULTA,ULTA BEAUTY INC,Consumer Discretionary,205967070.33,0.50037,484503,US90384S3031,United States
PHM,PULTEGROUP INC,Consumer Discretionary,204602508.36,0.49705,1930941,US7458671010,United States
GWW,WW GRAINGER INC,Industrials,203985265.5,0.49555,217575,US3848021040,United States
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,198044243.1,0.48112,243507,US2435371073,United States
ANET,ARISTA NETWORKS INC,Information Technology,188639091.78,0.45827,733462,US0404131064,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,188227453.68,0.45727,478366,US92532F1003,United States
PAYX,PAYCHEX INC,Industrials,185737750.45,0.45122,1576855,US7043261079,United States
COR,CENCORA INC,Health Care,174417161.1,0.42372,735007,US03073E1055,United States
GRMN,GARMIN LTD,Consumer Discretionary,171970253.28,0.41778,1222074,CH0114405324,United States
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,165488936.38,0.40203,796309,US6795801009,United States
ATO,ATMOS ENERGY CORP,Utilities,158048169.3,0.38396,1379490,US0495601058,United States
AMP,AMERIPRISE FINANCE INC,Financials,157719977.53,0.38316,382231,US03076C1062,United States
AFL,AFLAC INC,Financials,157151083.68,0.38178,1940616,US0010551028,United States
FERG,FERGUSON PLC,Industrials,153635147.08,0.37324,733202,JE00BJVNSS43,United States
APH,AMPHENOL CORP CLASS A,Information Technology,150197160.96,0.36488,1354592,US0320951017,United States
FAST,FASTENAL,Industrials,150163065.0,0.3648,2224638,US3119001044,United States
VRSK,VERISK ANALYTICS INC,Industrials,144502103.22,0.35105,647034,US92345Y1064,United States
CTRA,COTERRA ENERGY INC,Energy,135678716.06,0.32961,4984523,US1270971039,United States
ZTS,ZOETIS INC CLASS A,Health Care,135676129.85,0.32961,886135,US98978V1035,United States
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,134348846.1,0.32638,576555,US0091581068,United States
BBY,BEST BUY CO INC,Consumer Discretionary,131440328.0,0.31932,1729478,US0865161014,United States
CSGP,COSTAR GROUP INC,Real Estate,121127527.98,0.29426,1438911,US22160N1090,United States
SMCI,SUPER MICRO COMPUTER INC,Information Technology,121004156.0,0.29396,130325,US86800U1043,United States
TPL,TEXAS PACIFIC LAND CORP,Energy,119177094.4,0.28952,204631,US88262P1021,United States
POOL,POOL CORP,Consumer Discretionary,118739434.17,0.28846,327187,US73278L1052,United States
LII,LENNOX INTERNATIONAL INC,Industrials,117017868.24,0.28428,255141,US5261071071,United States
EW,EDWARDS LIFESCIENCES CORP,Health Care,111736797.9,0.27145,1292502,US28176E1082,United States
MNST,MONSTER BEVERAGE CORP,Consumer Staples,108997402.14,0.26479,2038859,US61174X1090,United States
EQT,EQT CORP,Energy,105419432.82,0.2561,2910531,US26884L1098,United States
IDXX,IDEXX LABORATORIES INC,Health Care,102763073.2,0.24965,215080,US45168D1046,United States
CBRE,CBRE GROUP INC CLASS A,Real Estate,94855240.26,0.23044,1114109,US12504L1098,United States
DKS,DICKS SPORTING INC,Consumer Discretionary,87525910.9,0.21263,448345,US2533931026,United States
TROW,T ROWE PRICE GROUP INC,Financials,82412804.16,0.20021,758028,US74144T1088,United States
LPLA,LPL FINANCIAL HOLDINGS INC,Financials,81625189.17,0.1983,314221,US50212V1008,United States
HSY,HERSHEY FOODS,Consumer Staples,79178495.76,0.19235,428316,US4278661081,United States
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,77679583.28,0.18871,426764,US0534841012,United States
KVUE,KENVUE INC,Consumer Staples,74471081.08,0.18092,3803426,US49177J1025,United States
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,74319341.1,0.18055,119810,US6098391054,United States
A,AGILENT TECHNOLOGIES INC,Health Care,72669430.68,0.17654,548697,US00846U1016,United States
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,70926729.44,0.17231,618044,US3021301094,United States
EA,ELECTRONIC ARTS INC,Communication,69605175.87,0.1691,554049,US2855121099,United States
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,69442159.52,0.1687,1125116,US0394831020,United States
MANH,MANHATTAN ASSOCIATES INC,Information Technology,69155735.32,0.168,300103,US5627501092,United States
NTAP,NETAPP INC,Information Technology,67678918.02,0.16442,675843,US64110D1046,United States
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,60802030.81,0.14771,413929,US49338L1035,United States
