symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,149710883.48,4.58855,370324,US5949181045,United States
AAPL,APPLE INC,Information Technology,128689620.48,3.94426,770412,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,109690433.79,3.36195,129549,US67066G1040,United States
AMZN,AMAZON COM INC,Consumer Discretionary,87424949.76,2.67953,487808,US0231351067,United States
META,META PLATFORMS INC CLASS A,Communication,58381921.0,1.78937,116345,US30303M1027,United States
GOOGL,ALPHABET INC CLASS A,Communication,48424411.93,1.48418,310393,US02079K3059,United States
GOOG,ALPHABET INC CLASS C,Communication,42555926.9,1.30432,270265,US02079K1079,United States
LLY,ELI LILLY,Health Care,31593220.35,0.96831,42353,US5324571083,United States
AVGO,BROADCOM INC,Information Technology,29396157.51,0.90098,23349,US11135F1012,United States
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,27524828.59,0.84362,68831,US0846707026,United States
JPM,JPMORGAN CHASE & CO,Financials,27478587.5,0.8422,151606,US46625H1005,United States
XOM,EXXON MOBIL CORP,Energy,24817139.84,0.76063,209392,US30231G1022,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,23899502.8,0.73251,48460,US91324P1021,United States
TSLA,TESLA INC,Consumer Discretionary,22533129.63,0.69063,150291,US88160R1014,United States
V,VISA INC CLASS A,Financials,22474863.4,0.68884,82820,US92826C8394,United States
NOVO B,NOVO NORDISK CLASS B,Health Care,21036917.11,0.64477,170757,DK0062498333,Denmark
MA,MASTERCARD INC CLASS A,Financials,19981336.8,0.61242,43944,US57636Q1040,United States
PG,PROCTER & GAMBLE,Consumer Staples,19499241.3,0.59764,123970,US7427181091,United States
ASML,ASML HOLDING NV,Information Technology,18922100.73,0.57995,21133,NL0010273215,Netherlands
JNJ,JOHNSON & JOHNSON,Health Care,18358284.84,0.56267,125966,US4781601046,United States
HD,HOME DEPOT INC,Consumer Discretionary,17310612.89,0.53056,52001,US4370761029,United States
MRK,MERCK & CO INC,Health Care,16684142.44,0.51136,133228,US58933Y1055,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,16512380.0,0.5061,23216,US22160K1051,United States
ABBV,ABBVIE INC,Health Care,15269580.44,0.468,92734,US00287Y1091,United States
CVX,CHEVRON CORP,Energy,14892255.84,0.45644,94512,US1667641005,United States
NESN,NESTLE SA,Consumer Staples,14328149.19,0.43915,140162,CH0038863350,Switzerland
NFLX,NETFLIX INC,Communication,14028837.12,0.42998,22977,US64110L1061,United States
CRM,SALESFORCE INC,Information Technology,13815711.36,0.42344,50808,US79466L3024,United States
WMT,WALMART INC,Consumer Staples,13791402.02,0.4227,232727,US9311421039,United States
BAC,BANK OF AMERICA CORP,Financials,13297676.35,0.40757,371755,US0605051046,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,13128607.56,0.40238,84657,US0079031078,United States
7203,TOYOTA MOTOR CORP,Consumer Discretionary,12942740.18,0.39669,555600,JP3633400001,Japan
KO,COCA-COLA,Consumer Staples,12661055.02,0.38805,214922,US1912161007,United States
PEP,PEPSICO INC,Consumer Staples,12431520.01,0.38102,72163,US7134481081,United States
MC,LVMH,Consumer Discretionary,12216696.12,0.37443,14389,FR0000121014,France
SHEL,SHELL PLC,Energy,12171755.24,0.37306,344186,GB00BP6MXD84,United Kingdom
LIN,LINDE PLC,Materials,11303607.6,0.34645,25320,IE000S9YS762,United States
ADBE,ADOBE INC,Information Technology,11244649.52,0.34464,23764,US00724F1012,United States
WFC,WELLS FARGO,Financials,11184389.7,0.3428,190405,US9497461015,United States
AZN,ASTRAZENECA PLC,Health Care,11003603.45,0.33725,81010,GB0009895292,United Kingdom
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,10966321.52,0.33611,20251,US8835561023,United States
DIS,WALT DISNEY,Communication,10756965.11,0.32969,95677,US2546871060,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,10367328.0,0.31775,32808,IE00B4BNMY34,United States
MCD,MCDONALDS CORP,Consumer Discretionary,10299136.86,0.31566,38007,US5801351017,United States
CSCO,CISCO SYSTEMS INC,Information Technology,10260082.93,0.31447,213263,US17275R1023,United States
ORCL,ORACLE CORP,Information Technology,10011728.0,0.30685,86308,US68389X1054,United States
NOVN,NOVARTIS AG,Health Care,9900450.96,0.30344,106841,CH0012005267,Switzerland
SAP,SAP,Information Technology,9873013.61,0.3026,54768,DE0007164600,Germany
CAT,CATERPILLAR INC,Industrials,9585723.33,0.2938,26781,US1491231015,United States
ABT,ABBOTT LABORATORIES,Health Care,9545041.44,0.29255,90672,US0028241000,United States
QCOM,QUALCOMM INC,Information Technology,9512367.68,0.29155,58922,US7475251036,United States
INTU,INTUIT INC,Information Technology,8901207.78,0.27282,14631,US4612021034,United States
VZ,VERIZON COMMUNICATIONS INC,Communication,8828519.74,0.27059,219998,US92343V1044,United States
ROG,ROCHE HOLDING PAR AG,Health Care,8808924.46,0.26999,36521,CH0012032048,Switzerland
DHR,DANAHER CORP,Health Care,8714120.48,0.26708,36868,US2358511028,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,8708926.77,0.26692,47991,US4592001014,United States
GE,GE AEROSPACE,Industrials,8707027.14,0.26687,56931,US3696043013,United States
AMAT,APPLIED MATERIAL INC,Information Technology,8427269.76,0.25829,43368,US0382221051,United States
CMCSA,COMCAST CORP CLASS A,Communication,8325548.7,0.25517,210135,US20030N1019,United States
TTE,TOTALENERGIES,Energy,8160953.68,0.25013,113600,FR0000120271,France
HSBA,HSBC HOLDINGS PLC,Financials,8041735.3,0.24647,1002414,GB0005405286,United Kingdom
COP,CONOCOPHILLIPS,Energy,7984035.08,0.24471,62468,US20825C1045,United States
NOW,SERVICENOW INC,Information Technology,7846030.08,0.24048,10728,US81762P1021,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,7802803.58,0.23915,47674,US8825081040,United States
BHP,BHP GROUP LTD,Materials,7765958.44,0.23802,267691,AU000000BHP4,Australia
INTC,INTEL CORPORATION CORP,Information Technology,7753651.2,0.23765,221280,US4581401001,United States
RTX,RTX CORP,Industrials,7651039.41,0.2345,75971,US75513E1010,United States
PFE,PFIZER INC,Health Care,7515186.1,0.23034,295990,US7170811035,United States
SIE,SIEMENS N AG,Industrials,7500464.07,0.22989,40104,DE0007236101,Germany
AMGN,AMGEN INC,Health Care,7371188.5,0.22592,28054,US0311621009,United States
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,7351449.6,0.22532,80608,US7181721090,United States
UNP,UNION PACIFIC CORP,Industrials,7331168.81,0.2247,31901,US9078181081,United States
RY,ROYAL BANK OF CANADA,Financials,7143715.55,0.21895,73596,CA7800871021,Canada
SPGI,S&P GLOBAL INC,Financials,7045064.91,0.21593,17043,US78409V1044,United States
LOW,LOWES COMPANIES INC,Consumer Discretionary,6968028.24,0.21357,30456,US5486611073,United States
NEE,NEXTERA ENERGY INC,Utilities,6913015.99,0.21188,107999,US65339F1012,United States
UBER,UBER TECHNOLOGIES INC,Industrials,6910467.3,0.2118,96921,US90353T1007,United States
GS,GOLDMAN SACHS GROUP INC,Financials,6870606.84,0.21058,17044,US38141G1040,United States
ISRG,INTUITIVE SURGICAL INC,Health Care,6839623.65,0.20963,18355,US46120E6023,United States
AXP,AMERICAN EXPRESS,Financials,6635707.5,0.20338,30509,US0258161092,United States
HON,HONEYWELL INTERNATIONAL INC,Industrials,6608310.72,0.20254,34584,US4385161066,United States
SU,SCHNEIDER ELECTRIC,Industrials,6551030.33,0.20079,28549,FR0000121972,France
MU,MICRON TECHNOLOGY INC,Information Technology,6492163.86,0.19898,58002,US5951121038,United States
ELV,ELEVANCE HEALTH INC,Health Care,6482420.17,0.19868,12343,US0367521038,United States
ETN,EATON PLC,Industrials,6481252.26,0.19865,20979,IE00B8KQN827,United States
PGR,PROGRESSIVE CORP,Financials,6439744.5,0.19737,30702,US7433151039,United States
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,6349189.14,0.1946,1851,US09857L1089,United States
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,6347069.95,0.19453,87509,AU000000CBA7,Australia
ULVR,UNILEVER PLC,Consumer Staples,6146693.68,0.18839,131005,GB00B10RZP78,United Kingdom
LRCX,LAM RESEARCH CORP,Information Technology,6119325.28,0.18755,6884,US5128071082,United States
NKE,NIKE INC CLASS B,Consumer Discretionary,6090787.32,0.18668,63618,US6541061031,United States
T,AT&T INC,Communication,6074841.65,0.18619,372005,US00206R1023,United States
MS,MORGAN STANLEY,Financials,5876828.6,0.18012,65110,US6174464486,United States
ALV,ALLIANZ,Financials,5876056.46,0.1801,21048,DE0008404005,Germany
8035,TOKYO ELECTRON LTD,Information Technology,5868895.72,0.17988,24700,JP3571400005,Japan
SYK,STRYKER CORP,Health Care,5840398.2,0.179,17836,US8636671013,United States
C,CITIGROUP INC,Financials,5831708.4,0.17874,99995,US1729674242,United States
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,5821748.1,0.17843,593400,JP3902900004,Japan
BLK,BLACKROCK INC,Financials,5799795.3,0.17776,7761,US09247X1019,United States
SCHW,CHARLES SCHWAB CORP,Financials,5764824.78,0.17669,79046,US8085131055,United States
OR,LOREAL SA,Consumer Staples,5740936.62,0.17596,12719,FR0000120321,France
BP.,BP PLC,Energy,5725190.54,0.17547,897777,GB0007980591,United Kingdom
DE,DEERE,Industrials,5575550.8,0.17089,13918,US2441991054,United States
TJX,TJX INC,Consumer Discretionary,5556264.24,0.1703,59964,US8725401090,United States
MDT,MEDTRONIC PLC,Health Care,5538390.22,0.16975,69938,IE00BTN1Y115,United States
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,5476957.01,0.16787,27528,FR0000120073,France
TD,TORONTO DOMINION,Financials,5429016.39,0.1664,94710,CA8911605092,Canada
SAN,SANOFI SA,Health Care,5415952.27,0.166,59636,FR0000120578,France
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,5408418.6,0.16576,37890,US9113121068,United States
CI,CIGNA,Health Care,5393533.92,0.16531,15464,US1255231003,United States
LMT,LOCKHEED MARTIN CORP,Industrials,5356320.96,0.16417,11744,US5398301094,United States
6758,SONY GROUP CORP,Consumer Discretionary,5339188.36,0.16364,64700,JP3435000009,Japan
CB,CHUBB LTD,Financials,5334287.82,0.16349,21738,CH0044328745,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,5334014.88,0.16348,13556,US92532F1003,United States
BMY,BRISTOL MYERS SQUIBB,Health Care,5282377.8,0.1619,109366,US1101221083,United States
AIR,AIRBUS GROUP,Industrials,5252147.95,0.16098,30680,NL0000235190,France
MMC,MARSH & MCLENNAN INC,Financials,5236305.61,0.16049,25957,US5717481023,United States
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,5229887.88,0.16029,21612,US0530151036,United States
SBUX,STARBUCKS CORP,Consumer Discretionary,5143680.15,0.15765,59021,US8552441094,United States
BSX,BOSTON SCIENTIFIC CORP,Health Care,5130864.26,0.15726,76103,US1011371077,United States
BA,BOEING,Industrials,5069108.94,0.15537,29778,US0970231058,United States
PLD,PROLOGIS REIT INC,Real Estate,5048361.18,0.15473,48222,US74340W1036,United States
REGN,REGENERON PHARMACEUTICALS INC,Health Care,4976842.33,0.15254,5567,US75886F1075,United States
ADI,ANALOG DEVICES INC,Information Technology,4915533.9,0.15066,26205,US0326541051,United States
UBSG,UBS GROUP AG,Financials,4805114.0,0.14727,169808,CH0244767585,Switzerland
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,4735753.68,0.14515,70504,US6092071058,United States
FI,FISERV INC,Financials,4731824.19,0.14503,32209,US3377381088,United States
CVS,CVS HEALTH CORP,Health Care,4655166.93,0.14268,67087,US1266501006,United States
PANW,PALO ALTO NETWORKS INC,Information Technology,4644432.8,0.14235,16520,US6974351057,United States
KLAC,KLA CORP,Information Technology,4620345.84,0.14161,7172,US4824801009,United States
TMUS,T MOBILE US INC,Communication,4460370.5,0.13671,27730,US8725901040,United States
BX,BLACKSTONE INC,Financials,4433190.4,0.13587,36845,US09260D1072,United States
CSL,CSL LTD,Health Care,4419775.43,0.13546,25311,AU000000CSL8,Australia
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,4383269.06,0.13434,62944,CA82509L1076,Canada
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,4362173.04,0.1337,56693,CA1363851017,Canada
WM,WASTE MANAGEMENT INC,Industrials,4340716.69,0.13304,21167,US94106L1098,United States
GILD,GILEAD SCIENCES INC,Health Care,4328848.8,0.13268,65430,US3755581036,United States
6861,KEYENCE CORP,Information Technology,4285814.07,0.13136,10200,JP3236200006,Japan
6501,HITACHI LTD,Industrials,4252151.98,0.13033,47800,JP3788600009,Japan
GSK,GLAXOSMITHKLINE,Health Care,4210851.27,0.12906,213668,GB00BN7SWP63,United Kingdom
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,4202016.65,0.12879,1445,US1696561059,United States
AMT,AMERICAN TOWER REIT CORP,Real Estate,4151538.0,0.12724,24278,US03027X1000,United States
SNPS,SYNOPSYS INC,Information Technology,4139490.15,0.12687,7965,US8716071076,United States
REL,RELX PLC,Industrials,4105943.28,0.12584,99103,GB00B2B0DG97,United Kingdom
RMS,HERMES INTERNATIONAL,Consumer Discretionary,4105058.01,0.12582,1657,FR0000052292,France
CP,CANADIAN PACIFIC KANSAS CITY LTD,Industrials,4081258.49,0.12509,48568,CA13646K1084,Canada
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,4078077.6,0.12499,14264,US1273871087,United States
DGE,DIAGEO PLC,Consumer Staples,4075573.26,0.12491,116002,GB0002374006,United Kingdom
SAN,BANCO SANTANDER SA,Financials,4066480.98,0.12464,839767,ES0113900J37,Spain
ABBN,ABB LTD,Industrials,4060464.7,0.12445,83545,CH0012221716,Switzerland
MPC,MARATHON PETROLEUM CORP,Energy,4041399.46,0.12387,20723,US56585A1025,United States
8058,MITSUBISHI CORP,Industrials,4029231.37,0.12349,179700,JP3898400001,Japan
TGT,TARGET CORP,Consumer Staples,4027404.66,0.12344,24177,US87612E1064,United States
EOG,EOG RESOURCES INC,Energy,3992986.8,0.12238,30305,US26875P1012,United States
SHW,SHERWIN WILLIAMS,Materials,3979554.94,0.12197,12863,US8243481061,United States
SO,SOUTHERN,Utilities,3973514.42,0.12179,56306,US8425871071,United States
SAF,SAFRAN SA,Industrials,3968186.41,0.12162,17887,FR0000073272,France
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,3967148.89,0.12159,28170,CH0210483332,Switzerland
RIO,RIO TINTO PLC,Materials,3954136.15,0.12119,59154,GB0007188757,United Kingdom
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,3948523.08,0.12102,30146,US45866F1049,United States
ITW,ILLINOIS TOOL INC,Industrials,3931514.0,0.1205,15800,US4523081093,United States
CME,CME GROUP INC CLASS A,Financials,3922970.8,0.12024,18712,US12572Q1058,United States
IBE,IBERDROLA SA,Utilities,3889885.3,0.11922,323204,ES0144580Y14,Spain
4063,SHIN ETSU CHEMICAL LTD,Materials,3876231.75,0.1188,93665,JP3371200001,Japan
MO,ALTRIA GROUP INC,Consumer Staples,3850233.8,0.11801,93226,US02209S1033,United States
DUK,DUKE ENERGY CORP,Utilities,3827607.0,0.11731,39900,US26441C2044,United States
SLB,SCHLUMBERGER NV,Energy,3825644.94,0.11725,75101,AN8068571086,United States
ZURN,ZURICH INSURANCE GROUP AG,Financials,3804913.93,0.11662,7834,CH0011075394,Switzerland
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,3804481.16,0.11661,68300,JP3890350006,Japan
BNP,BNP PARIBAS SA,Financials,3757620.65,0.11517,53872,FR0000131104,France
FCX,FREEPORT MCMORAN INC,Materials,3738274.32,0.11458,74527,US35671D8570,United States
DTE,DEUTSCHE TELEKOM N AG,Communication,3722785.19,0.1141,166767,DE0005557508,Germany
ENB,ENBRIDGE INC,Energy,3710800.22,0.11373,109372,CA29250N1050,Canada
CSX,CSX CORP,Industrials,3697131.34,0.11332,107506,US1264081035,United States
CNR,CANADIAN NATIONAL RAILWAY,Industrials,3687933.34,0.11303,28970,CA1363751027,Canada
PSX,PHILLIPS,Energy,3685572.4,0.11296,24040,US7185461040,United States
1299,AIA GROUP LTD,Financials,3668384.93,0.11243,600400,HK0000069689,Hong Kong
MCK,MCKESSON CORP,Health Care,3660204.55,0.11218,7055,US58155Q1031,United States
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,3657004.2,0.11209,22842,US0090661010,United States
EQIX,EQUINIX REIT INC,Real Estate,3640062.0,0.11157,4920,US29444U7000,United States
ZTS,ZOETIS INC CLASS A,Health Care,3638965.37,0.11153,23767,US98978V1035,United States
PH,PARKER-HANNIFIN CORP,Industrials,3633721.77,0.11137,6753,US7010941042,United States
CL,COLGATE-PALMOLIVE,Consumer Staples,3594563.05,0.11017,41455,US1941621039,United States
BDX,BECTON DICKINSON,Health Care,3558102.15,0.10905,15261,US0758871091,United States
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,3544327.63,0.10863,164686,AU000000NAB4,Australia
ANET,ARISTA NETWORKS INC,Information Technology,3540991.92,0.10853,13768,US0404131064,United States
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,3475379.7,0.10652,11817,US22788C1053,United States
APH,AMPHENOL CORP CLASS A,Information Technology,3467550.24,0.10628,31273,US0320951017,United States
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,3458429.46,0.106,3141,US67103H1077,United States
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,3457028.63,0.10596,311359,ES0113211835,Spain
TDG,TRANSDIGM GROUP INC,Industrials,3452407.5,0.10581,2845,US8936411003,United States
TT,TRANE TECHNOLOGIES PLC,Industrials,3442289.28,0.1055,11888,IE00BK9ZQ967,United States
NOC,NORTHROP GRUMMAN CORP,Industrials,3435832.5,0.10531,7593,US6668071029,United States
BMO,BANK OF MONTREAL,Financials,3422463.33,0.1049,37554,CA0636711016,Canada
GD,GENERAL DYNAMICS CORP,Industrials,3401559.48,0.10426,11924,US3695501086,United States
MBG,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,3390307.44,0.10391,42531,DE0007100000,Germany
PYPL,PAYPAL HOLDINGS INC,Financials,3373334.1,0.10339,54321,US70450Y1038,United States
CS,AXA SA,Financials,3359035.58,0.10295,93211,FR0000120628,France
EL,ESSILORLUXOTTICA SA,Health Care,3296200.5,0.10103,15112,FR0000121667,France
DG,VINCI SA,Industrials,3271656.2,0.10027,27040,FR0000125486,France
EMR,EMERSON ELECTRIC,Industrials,3266947.97,0.10013,29887,US2910111044,United States
PXD,PIONEER NATURAL RESOURCE,Energy,3237881.51,0.09924,12083,US7237871071,United States
FDX,FEDEX CORP,Industrials,3231286.53,0.09904,12269,US31428X1063,United States
GLEN,GLENCORE PLC,Materials,3230010.48,0.099,546384,JE00B4T3BW64,United Kingdom
AON,AON PLC CLASS A,Financials,3229619.4,0.09899,10462,IE00BLP1HW54,United States
MELI,MERCADOLIBRE INC,Consumer Discretionary,3228309.0,0.09895,2356,US58733R1023,United States
USB,US BANCORP,Financials,3215937.6,0.09857,81540,US9029733048,United States
MCO,MOODYS CORP,Financials,3185598.4,0.09764,8504,US6153691059,United States
CTAS,CINTAS CORP,Industrials,3183024.2,0.09756,4805,US1729081059,United States
8031,MITSUI LTD,Industrials,3145905.25,0.09642,67900,JP3893600001,Japan
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,3145625.6,0.09641,13312,US5719032022,United States
BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,3127000.01,0.09584,109575,GB0002875804,United Kingdom
