symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,10151080226.85,11.94196,25109655,US5949181045,United States
AAPL,APPLE INC,Information Technology,8219338168.32,9.66941,49205808,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,6787933516.14,7.98548,8016834,US67066G1040,United States
AMZN,AMAZON COM INC,Consumer Discretionary,5447780269.74,6.40889,30397167,US0231351067,United States
META,META PLATFORMS INC CLASS A,Communication,3744786372.6,4.40545,7462707,US30303M1027,United States
GOOGL,ALPHABET INC CLASS A,Communication,3127928891.41,3.67977,20049541,US02079K3059,United States
GOOG,ALPHABET INC CLASS C,Communication,2666535657.56,3.13697,16934686,US02079K1079,United States
LLY,ELI LILLY,Health Care,2129860310.4,2.50562,2855232,US5324571083,United States
AVGO,BROADCOM INC,Information Technology,1831272717.43,2.15435,1454557,US11135F1012,United States
V,VISA INC CLASS A,Financials,1460472363.13,1.71813,5381849,US92826C8394,United States
TSLA,TESLA INC,Consumer Discretionary,1395705266.78,1.64194,9309046,US88160R1014,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,1300759784.1,1.53024,2637495,US91324P1021,United States
MA,MASTERCARD INC CLASS A,Financials,1273738378.4,1.49845,2801272,US57636Q1040,United States
HD,HOME DEPOT INC,Consumer Discretionary,1123297358.2,1.32147,3374380,US4370761029,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,1063143071.25,1.25071,1494753,US22160K1051,United States
ABBV,ABBVIE INC,Health Care,980345133.64,1.1533,5953754,US00287Y1091,United States
NFLX,NETFLIX INC,Communication,879381020.16,1.03452,1440286,US64110L1061,United States
ADBE,ADOBE INC,Information Technology,720818753.0,0.84799,1523350,US00724F1012,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,673644060.0,0.79249,2131785,IE00B4BNMY34,United States
CRM,SALESFORCE INC,Information Technology,647378706.48,0.76159,2380769,US79466L3024,United States
INTU,INTUIT INC,Information Technology,560720119.18,0.65964,921661,US4612021034,United States
PEP,PEPSICO INC,Consumer Staples,553284899.37,0.6509,3211731,US7134481081,United States
QCOM,QUALCOMM INC,Information Technology,529870296.0,0.62335,3282150,US7475251036,United States
NOW,SERVICENOW INC,Information Technology,502379960.32,0.59101,686912,US81762P1021,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,477199769.6,0.56139,3077120,US0079031078,United States
UBER,UBER TECHNOLOGIES INC,Industrials,473387865.3,0.5569,6639381,US90353T1007,United States
AMAT,APPLIED MATERIAL INC,Information Technology,462885008.32,0.54455,2382076,US0382221051,United States
CAT,CATERPILLAR INC,Industrials,462111253.38,0.54364,1291066,US1491231015,United States
ISRG,INTUITIVE SURGICAL INC,Health Care,439061358.51,0.51652,1178277,US46120E6023,United States
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,434185862.32,0.51079,801791,US8835561023,United States
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,403720617.72,0.47495,117698,US09857L1089,United States
KO,COCA-COLA,Consumer Staples,383949636.33,0.45169,6517563,US1912161007,United States
LRCX,LAM RESEARCH CORP,Information Technology,373752636.44,0.43969,420457,US5128071082,United States
TJX,TJX INC,Consumer Discretionary,356353032.58,0.41922,3845813,US8725401090,United States
LMT,LOCKHEED MARTIN CORP,Industrials,332023029.93,0.3906,727977,US5398301094,United States
SBUX,STARBUCKS CORP,Consumer Discretionary,326792716.95,0.38445,3749773,US8552441094,United States
LOW,LOWES COMPANIES INC,Consumer Discretionary,326758106.79,0.38441,1428201,US5486611073,United States
DE,DEERE,Industrials,325636122.6,0.38309,812871,US2441991054,United States
AMGN,AMGEN INC,Health Care,322009584.0,0.37882,1225536,US0311621009,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,312916937.4,0.36812,795255,US92532F1003,United States
PGR,PROGRESSIVE CORP,Financials,309756702.5,0.3644,1476790,US7433151039,United States
