symbol,name,sector,market_value,index_weight,amount_shares,isin,country
CHRD,CHORD ENERGY CORP,Energy,70442052.3,0.61237,394302,US6742152076,United States
PR,PERMIAN RESOURCES CORP CLASS A,Energy,64895663.28,0.56415,3777396,US71424F1057,United States
MUR,MURPHY OIL CORP,Energy,62045598.86,0.53938,1372994,US6267171022,United States
CMC,COMMERCIAL METALS,Materials,60973508.32,0.53006,1102994,US2017231034,United States
PBF,PBF ENERGY INC CLASS A,Energy,57641458.28,0.50109,1038772,US69318G1067,United States
MTDR,MATADOR RESOURCES,Energy,56959417.32,0.49516,879818,US5764852050,United States
SSB,SOUTHSTATE CORP,Financials,55325566.92,0.48096,723021,US8404411097,United States
CIVI,CIVITAS RESOURCES INC,Energy,54673495.24,0.47529,760516,US17888H1032,United States
UFPI,UFP INDUSTRIES INC,Industrials,53028901.85,0.46099,479249,US90278Q1085,United States
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,52705616.64,0.45818,975488,US87724P1066,United States
SM,SM ENERGY,Energy,52555567.84,0.45688,1093996,US78454L1008,United States
ESNT,ESSENT GROUP LTD,Financials,52133503.38,0.45321,989814,BMG3198U1027,United States
MTH,MERITAGE CORP,Consumer Discretionary,51426087.15,0.44706,342635,US59001A1025,United States
BCC,BOISE CASCADE,Industrials,50383875.6,0.438,374184,US09739D1000,United States
BECN,BEACON ROOFING SUPPLY INC,Industrials,49836020.04,0.43324,533462,US0736851090,United States
BRBR,BELLRING BRANDS INC,Consumer Staples,49303150.27,0.4286,909149,US07831C1036,United States
ONB,OLD NATIONAL BANCORP,Financials,47247466.08,0.41073,2994136,US6800331075,United States
TRNO,TERRENO REALTY REIT CORP,Real Estate,46360712.25,0.40302,846771,US88146M1018,United States
COOP,MR COOPER GROUP INC,Financials,46197196.31,0.4016,609703,US62482R1077,United States
JXN,JACKSON FINANCIAL INC CLASS A,Financials,45663456.3,0.39696,709170,US46817M1071,United States
SUM,SUMMIT MATERIALS INC CLASS A,Materials,43334300.68,0.37671,1126444,US86614U1007,United States
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,42980516.68,0.37364,587326,US8448951025,United States
KRG,KITE REALTY GROUP TRUST REIT,Real Estate,42015244.08,0.36525,2043543,US49803T3005,United States
CADE,CADENCE BANK,Financials,41993064.72,0.36505,1592456,US12740C1036,United States
HOMB,HOME BANCSHARES INC,Financials,41787385.38,0.36327,1799629,US4368932004,United States
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,41224899.74,0.35838,194926,US0434361046,United States
AEL,AMERICAN EQUITY INVESTMENT LIFE HO,Financials,41148335.28,0.35771,746252,US0256762065,United States
UBSI,UNITED BANKSHARES INC,Financials,40857924.96,0.35519,1233633,US9099071071,United States
RDN,RADIAN GROUP INC,Financials,40681994.02,0.35366,1388938,US7502361014,United States
WIRE,ENCORE WIRE CORP,Industrials,40634608.0,0.35325,141584,US2925621052,United States
KNF,KNIFE RIVER CORP,Materials,40402105.59,0.35122,532939,US4988941047,United States
POR,PORTLAND GENERAL ELECTRIC,Utilities,40257353.46,0.34997,964479,US7365088472,United States
GATX,GATX CORP,Industrials,39911348.4,0.34696,311710,US3614481030,United States
LNW,LIGHT WONDER INC,Consumer Discretionary,39849351.5,0.34642,452525,US80874P1093,United States
KBH,KB HOME,Consumer Discretionary,38833420.71,0.33759,642831,US48666K1097,United States
CVNA,CARVANA CLASS A,Consumer Discretionary,38607128.4,0.33562,542616,US1468691027,United States
SIG,SIGNET JEWELERS LTD,Consumer Discretionary,38593544.86,0.3355,410657,BMG812761002,United States
HP,HELMERICH & PAYNE INC,Energy,37679113.36,0.32755,915208,US4234521015,United States
GBCI,GLACIER BANCORP INC,Financials,36954543.6,0.32125,1052836,US37637Q1058,United States
ITGR,INTEGER HOLDINGS CORP,Health Care,36821757.17,0.3201,312499,US45826H1095,United States
CRS,CARPENTER TECHNOLOGY CORP,Materials,36596561.4,0.31814,461030,US1442851036,United States
AVNT,AVIENT CORP,Materials,36050308.56,0.31339,851046,US05368V1061,United States
ETRN,EQUITRANS MIDSTREAM CORP,Energy,35657532.75,0.30998,2910819,US2946001011,United States
MDC,MDC HOLDINGS INC,Consumer Discretionary,35630494.14,0.30974,565743,US5526761086,United States
PTEN,PATTERSON UTI ENERGY INC,Energy,35513908.92,0.30873,3131738,US7034811015,United States
HWC,HANCOCK WHITNEY CORP,Financials,35435689.89,0.30805,829293,US4101201097,United States
CRC,CALIFORNIA RESOURCES CORP,Energy,35257739.79,0.3065,656691,US13057Q3056,United States
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,35238480.29,0.30634,1114789,US98983L1089,United States
ALIT,ALIGHT INC CLASS A,Industrials,35076254.36,0.30493,3893036,US01626W1018,United States
ITRI,ITRON INC,Information Technology,35035194.28,0.30457,387172,US4657411066,United States
CNX,CNX RESOURCES CORP,Energy,35014877.7,0.30439,1477421,US12653C1080,United States
ACA,ARCOSA INC,Industrials,34600465.98,0.30079,456591,US0396531008,United States
MATX,MATSON INC,Industrials,34049437.44,0.296,325396,US57686G1058,United States
AMR,ALPHA METALLURGICAL RESOURCE INC,Materials,34041349.5,0.29593,100950,US0207641061,United States
BKH,BLACK HILLS CORP,Utilities,34003890.02,0.2956,648187,US0921131092,United States
GPI,GROUP  AUTOMOTIVE INC,Consumer Discretionary,33919745.04,0.29487,128894,US3989051095,United States
UMBF,UMB FINANCIAL CORP,Financials,33797082.0,0.29381,421410,US9027881088,United States
MOGA,MOOG INC CLASS A,Industrials,33215072.8,0.28875,217490,US6153942023,United States
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,33133606.56,0.28804,1316916,US29670E1073,United States
IRT,INDEPENDENCE REALTY INC TRUST,Real Estate,32977496.16,0.28668,2122104,US45378A1060,United States
OGS,ONE GAS INC,Utilities,32382640.01,0.28151,519869,US68235P1084,United States
HCC,WARRIOR MET COAL INC,Materials,32243428.35,0.2803,487429,US93627C1018,United States
LBRT,LIBERTY ENERGY INC CLASS A,Energy,32201865.8,0.27994,1457098,US53115L1044,United States
PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,31903046.0,0.27734,466760,US74112D1019,United States
ALE,ALLETE INC,Utilities,31829731.59,0.2767,544191,US0185223007,United States
MLI,MUELLER INDUSTRIES INC,Industrials,31295208.0,0.27206,598150,US6247561029,United States
ESGR,ENSTAR GROUP LTD,Financials,31242021.91,0.27159,112661,BMG3075P1014,United States
TPH,TRI POINTE HOMES INC,Consumer Discretionary,31203802.26,0.27126,901323,US87265H1095,United States
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,30957387.41,0.26912,2643671,US3825501014,United States
MAC,MACERICH REIT,Real Estate,30947558.5,0.26903,2040050,US5543821012,United States
ASGN,ASGN INC,Industrials,30749423.25,0.26731,321815,US00191U1025,United States
STNG,SCORPIO TANKERS INC,Energy,30664192.44,0.26657,447914,MHY7542C1306,United States
AMKR,AMKOR TECHNOLOGY INC,Information Technology,30610658.01,0.2661,1056633,US0316521006,United States
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,30473729.37,0.26491,940257,US71844V2016,United States
APLE,APPLE HOSPITALITY REIT INC,Real Estate,30386133.2,0.26415,2035240,US03784Y2000,United States
PCH,POTLATCHDELTIC CORP,Real Estate,30378962.0,0.26409,745496,US7376301039,United States
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,29992581.51,0.26073,1002761,CA11275Q1072,Canada
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,29968963.44,0.26053,1634968,US09257W1009,United States
VLY,VALLEY NATIONAL,Financials,29936672.24,0.26025,4095304,US9197941076,United States
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,29714702.08,0.25832,1330112,US02553E1064,United States
SLG,SL GREEN REALTY REIT CORP,Real Estate,29570611.04,0.25706,609452,US78440X8873,United States
KFY,KORN FERRY,Industrials,29477533.86,0.25625,491538,US5006432000,United States
NPO,ENPRO INC,Industrials,29461983.62,0.25612,197387,US29355X1072,United States
SBRA,SABRA HEALTH CARE REIT INC,Real Estate,29318254.06,0.25487,2183042,US78573L1061,United States
SR,SPIRE INC,Utilities,29198426.4,0.25383,491556,US84857L1017,United States
ASB,ASSOCIATED BANCORP,Financials,29003330.88,0.25213,1447272,US0454871056,United States
SANM,SANMINA CORP,Information Technology,28702401.78,0.24952,492999,US8010561020,United States
NWE,NORTHWESTERN ENERGY GROUP INC,Utilities,28464244.62,0.24745,581734,US6680743050,United States
MHO,M I HOMES INC,Consumer Discretionary,28124557.96,0.24449,254084,US55305B1017,United States
SYNA,SYNAPTICS INC,Information Technology,27770352.12,0.24141,339948,US87157D1090,United States
ARCH,ARCH RESOURCES INC CLASS A,Materials,27642765.5,0.2403,169775,US03940R1077,United States
ABCB,AMERIS BANCORP,Financials,27334530.78,0.23762,610282,US03076K1088,United States
CNO,CNO FINANCIAL GROUP INC,Financials,27286505.05,0.23721,1062145,US12621E1038,United States
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials,27241951.44,0.23682,568014,US7818462092,United States
WD,WALKER & DUNLOP INC,Financials,27123031.32,0.23579,301434,US93148P1021,United States
BHVN,BIOHAVEN LTD,Health Care,27067774.0,0.23531,642025,VGG1110E1079,United States
IBOC,INTERNATIONAL BANCSHARES CORP,Financials,26992109.76,0.23465,513744,US4590441030,United States
REZI,RESIDEO TECHNOLOGIES INC,Industrials,26417260.8,0.22965,1375899,US76118Y1047,United States
AUB,ATLANTIC UNION BANKSHARES CORP,Financials,26111077.26,0.22699,811407,US04911A1079,United States
IOVA,IOVANCE BIOTHERAPEUTICS INC,Health Care,26091720.32,0.22682,2226256,US4622601007,United States
ABM,ABM INDUSTRIES INC,Industrials,26046327.0,0.22643,594665,US0009571003,United States
PNM,PNM RESOURCES INC,Utilities,25974397.68,0.2258,719114,US69349H1077,United States
SKYW,SKYWEST INC,Industrials,25914123.66,0.22528,380922,US8308791024,United States
UCBI,UNITED COMMUNITY BANKS INC,Financials,25755406.3,0.2239,1042729,US90984P3038,United States
CLSK,CLEANSPARK INC,Information Technology,25748554.17,0.22384,1586479,US18452B2097,United States
BTU,PEABODY ENERGY CORP,Energy,25574522.16,0.22232,1061624,US7045511000,United States
BNL,BROADSTONE NET LEASE INC,Real Estate,25388686.96,0.22071,1772953,US11135E2037,United States
