symbol,name,sector,market_value,index_weight,amount_shares,isin,country
PH,PARKER-HANNIFIN CORP,Industrials,208230606.29,0.6424,386981,US7010941042,United States
PSX,PHILLIPS,Energy,204192822.45,0.62994,1331895,US7185461040,United States
TT,TRANE TECHNOLOGIES PLC,Industrials,199318336.44,0.61491,688349,IE00BK9ZQ967,United States
APH,AMPHENOL CORP CLASS A,Information Technology,195777378.72,0.60398,1765669,US0320951017,United States
TDG,TRANSDIGM GROUP INC,Industrials,194664816.0,0.60055,160416,US8936411003,United States
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,190056243.0,0.58633,646230,US22788C1053,United States
KKR,KKR AND CO INC,Financials,187517092.55,0.5785,2008753,US48251W1045,United States
CEG,CONSTELLATION ENERGY CORP,Utilities,179082214.04,0.55248,974014,US21037T1097,United States
PCAR,PACCAR INC,Industrials,176628781.44,0.54491,1552644,US6937181088,United States
CTAS,CINTAS CORP,Industrials,173862015.08,0.53637,262457,US1729081059,United States
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,169587971.9,0.52319,1580503,US03769M1062,United States
MRVL,MARVELL TECHNOLOGY INC,Information Technology,168864345.44,0.52095,2588356,US5738741041,United States
DXCM,DEXCOM INC,Health Care,157327212.3,0.48536,1171461,US2521311074,United States
WELL,WELLTOWER INC,Real Estate,152423132.04,0.47023,1678484,US95040Q1040,United States
AJG,ARTHUR J GALLAGHER,Financials,151900458.25,0.46862,649175,US3635761097,United States
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,150006508.88,0.46278,754484,US43300A2033,United States
AFL,AFLAC INC,Financials,142388267.72,0.43927,1758314,US0010551028,United States
NUE,NUCOR CORP,Materials,141946615.44,0.43791,744072,US6703461052,United States
WMB,WILLIAMS INC,Energy,138677302.62,0.42783,3690189,US9694571004,United States
CPRT,COPART INC,Industrials,138104274.0,0.42606,2595945,US2172041061,United States
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,137828741.52,0.42521,981896,US8288061091,United States
OKE,ONEOK INC,Energy,137272456.2,0.42349,1762615,US6826801036,United States
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,135525721.38,0.4181,1609378,US5950171042,United States
CARR,CARRIER GLOBAL CORP,Industrials,134731920.7,0.41565,2524015,US14448C1045,United States
ALL,ALLSTATE CORP,Financials,134448537.96,0.41478,795036,US0200021014,United States
DHI,D R HORTON INC,Consumer Discretionary,133781150.44,0.41272,917063,US23331A1097,United States
ROST,ROSS STORES INC,Consumer Discretionary,131971471.8,0.40714,1001301,US7782961038,United States
O,REALTY INCOME REIT CORP,Real Estate,131131781.33,0.40455,2520311,US7561091049,United States
URI,UNITED RENTALS INC,Industrials,129553700.4,0.39968,204705,US9113631090,United States
FERG,FERGUSON PLC,Industrials,129548314.54,0.39966,618251,JE00BJVNSS43,United States
HES,HESS CORP,Energy,127709513.36,0.39399,841412,US42809H1077,United States
BK,BANK OF NEW YORK MELLON CORP,Financials,127103288.0,0.39212,2300512,US0640581007,United States
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,125508670.0,0.3872,1792981,US31620M1062,United States
GWW,WW GRAINGER INC,Industrials,125396912.54,0.38685,133751,US3848021040,United States
AMP,AMERIPRISE FINANCE INC,Financials,125102813.92,0.38595,303184,US03076C1062,United States
IQV,IQVIA HOLDINGS INC,Health Care,125057766.51,0.38581,550503,US46266C1053,United States
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,124905326.76,0.38534,913986,US2538681030,United States
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,124202168.26,0.38317,597643,US6795801009,United States
AME,AMETEK INC,Industrials,123389492.58,0.38066,696054,US0311001004,United States
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,123259932.17,0.38026,5833409,US69608A1088,United States
SPOT,SPOTIFY TECHNOLOGY SA,Communication,122408816.4,0.37764,423267,LU1778762911,United States
DASH,DOORDASH INC CLASS A,Consumer Discretionary,122034060.2,0.37648,938002,US25809K1051,United States
COR,CENCORA INC,Health Care,120739189.2,0.37249,508804,US03073E1055,United States
SQ,BLOCK INC CLASS A,Financials,120414493.86,0.37148,1671031,US8522341036,United States
CMI,CUMMINS INC,Industrials,120117787.02,0.37057,412181,US2310211063,United States
OTIS,OTIS WORLDWIDE CORP,Industrials,119538392.58,0.36878,1251842,US68902V1070,United States
