symbol,name,sector,market_value,index_weight,amount_shares,isin,country
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,289618210.1,1.99866,984761,US22788C1053,United States
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,258269812.4,1.78232,2406988,US03769M1062,United States
DXCM,DEXCOM INC,Health Care,239648680.4,1.65382,1784428,US2521311074,United States
CTAS,CINTAS CORP,Industrials,235683565.64,1.62645,355781,US1729081059,United States
CPRT,COPART INC,Industrials,210590816.8,1.45329,3958474,US2172041061,United States
GWW,WW GRAINGER INC,Industrials,191020962.38,1.31824,203747,US3848021040,United States
AMP,AMERIPRISE FINANCE INC,Financials,190724188.08,1.31619,462216,US03076C1062,United States
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,187688323.76,1.29524,8882552,US69608A1088,United States
ROST,ROSS STORES INC,Consumer Discretionary,187534925.0,1.29418,1422875,US7782961038,United States
SPOT,SPOTIFY TECHNOLOGY SA,Communication,187028242.8,1.29068,646709,LU1778762911,United States
COR,CENCORA INC,Health Care,184067914.8,1.27025,775676,US03073E1055,United States
IDXX,IDEXX LABORATORIES INC,Health Care,181521976.8,1.25269,379920,US45168D1046,United States
LNG,CHENIERE ENERGY INC,Energy,177365953.38,1.224,1105566,US16411R2085,United States
IQV,IQVIA HOLDINGS INC,Health Care,176777106.07,1.21994,778171,US46266C1053,United States
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,176098147.38,1.21526,847359,US6795801009,United States
PAYX,PAYCHEX INC,Industrials,175116979.52,1.20848,1486688,US7043261079,United States
TTD,TRADE DESK INC CLASS A,Communication,164291416.98,1.13378,2033058,US88339J1051,United States
DDOG,DATADOG INC CLASS A,Information Technology,160637072.82,1.10856,1284891,US23804L1035,United States
IT,GARTNER INC,Information Technology,156754278.45,1.08176,348645,US3666511072,United States
YUM,YUM BRANDS INC,Consumer Discretionary,156587231.2,1.08061,1135760,US9884981013,United States
APH,AMPHENOL CORP CLASS A,Information Technology,150045033.6,1.03546,1353220,US0320951017,United States
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,147159753.93,1.01555,1747533,US5950171042,United States
VRSK,VERISK ANALYTICS INC,Industrials,147015235.71,1.01455,658287,US92345Y1064,United States
DASH,DOORDASH INC CLASS A,Consumer Discretionary,145701071.6,1.00548,1119916,US25809K1051,United States
A,AGILENT TECHNOLOGIES INC,Health Care,145158875.4,1.00174,1096035,US00846U1016,United States
ROK,ROCKWELL AUTOMATION INC,Industrials,144986452.5,1.00055,530115,US7739031091,United States
HUBS,HUBSPOT INC,Information Technology,138894494.76,0.95851,213822,US4435731009,United States
CDW,CDW CORP,Information Technology,138440987.7,0.95538,587361,US12514G1085,United States
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,133312274.92,0.91999,668098,US9224751084,United States
FAST,FASTENAL,Industrials,133182360.0,0.91909,1973072,US3119001044,United States
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,131492073.18,0.90743,211978,US6098391054,United States
FICO,FAIR ISAAC CORP,Information Technology,129909331.5,0.89651,111774,US3032501047,United States
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,128814802.05,0.88895,341385,US9553061055,United States
TSCO,TRACTOR SUPPLY,Consumer Discretionary,123302243.55,0.85091,498493,US8923561067,United States
RMD,RESMED INC,Health Care,118959803.41,0.82094,669781,US7611521078,United States
MTD,METTLER TOLEDO INC,Health Care,117725945.52,0.81243,98717,US5926881054,United States
NET,CLOUDFLARE INC CLASS A,Information Technology,117562545.23,0.8113,1355813,US18915M1071,United States
TRGP,TARGA RESOURCES CORP,Energy,113972900.04,0.78653,1019618,US87612G1013,United States
CPNG,COUPANG INC CLASS A,Consumer Discretionary,112716108.2,0.77786,5054534,US22266T1097,United States
HES,HESS CORP,Energy,108593581.26,0.74941,715467,US42809H1077,United States
ANSS,ANSYS INC,Information Technology,107181376.5,0.73966,330297,US03662Q1058,United States
