symbol,name,sector,market_value,index_weight,amount_shares,isin,country
PH,PARKER-HANNIFIN CORP,Industrials,118748391.65,0.9086,220685,US7010941042,United States
PSX,PHILLIPS,Energy,116461788.19,0.89111,759649,US7185461040,United States
CEG,CONSTELLATION ENERGY CORP,Utilities,102145445.46,0.78157,555561,US21037T1097,United States
PCAR,PACCAR INC,Industrials,100731522.24,0.77075,885474,US6937181088,United States
MRVL,MARVELL TECHNOLOGY INC,Information Technology,96291043.24,0.73677,1475951,US5738741041,United States
TDG,TRANSDIGM GROUP INC,Industrials,92290315.5,0.70616,76053,US8936411003,United States
WELL,WELLTOWER INC,Real Estate,86934320.01,0.66518,957321,US95040Q1040,United States
AJG,ARTHUR J GALLAGHER,Financials,81787460.66,0.6258,349534,US3635761097,United States
AFL,AFLAC INC,Financials,81206744.0,0.62135,1002800,US0010551028,United States
NUE,NUCOR CORP,Materials,80958209.52,0.61945,424376,US6703461052,United States
KKR,KKR AND CO INC,Financials,80671296.35,0.61726,864181,US48251W1045,United States
TT,TRANE TECHNOLOGIES PLC,Industrials,80176557.96,0.61347,276891,IE00BK9ZQ967,United States
WMB,WILLIAMS INC,Energy,79072904.76,0.60503,2104122,US9694571004,United States
CARR,CARRIER GLOBAL CORP,Industrials,76833677.36,0.58789,1439372,US14448C1045,United States
ALL,ALLSTATE CORP,Financials,76636424.25,0.58638,453175,US0200021014,United States
DHI,D R HORTON INC,Consumer Discretionary,76299178.76,0.5838,523027,US23331A1097,United States
O,REALTY INCOME REIT CORP,Real Estate,74774706.38,0.57214,1437146,US7561091049,United States
OKE,ONEOK INC,Energy,73981872.36,0.56607,949947,US6826801036,United States
BK,BANK OF NEW YORK MELLON CORP,Financials,72591593.75,0.55543,1313875,US0640581007,United States
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,71603560.0,0.54787,1022908,US31620M1062,United States
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,71326543.82,0.54575,521927,US2538681030,United States
AME,AMETEK INC,Industrials,70452416.1,0.53907,397430,US0311001004,United States
FERG,FERGUSON PLC,Industrials,69813489.5,0.53418,333175,JE00BJVNSS43,United States
CMI,CUMMINS INC,Industrials,68587154.1,0.52479,235355,US2310211063,United States
PRU,PRUDENTIAL FINANCIAL INC,Financials,68199358.3,0.52183,627409,US7443201022,United States
RSG,REPUBLIC SERVICES INC,Industrials,67453219.44,0.51612,356952,US7607591002,United States
CTVA,CORTEVA INC,Materials,65787006.76,0.50337,1219181,US22052L1044,United States
COIN,COINBASE GLOBAL INC CLASS A,Financials,64532052.8,0.49377,295910,US19260Q1076,United States
OTIS,OTIS WORLDWIDE CORP,Industrials,64199550.33,0.49122,672317,US68902V1070,United States
LEN,LENNAR A CORP,Consumer Discretionary,63839328.54,0.48847,418646,US5260571048,United States
KR,KROGER,Consumer Staples,62671957.14,0.47953,1127802,US5010441013,United States
MLM,MARTIN MARIETTA MATERIALS INC,Materials,62636202.66,0.47926,106682,US5732841060,United States
IR,INGERSOLL RAND INC,Industrials,62229087.83,0.47615,699439,US45687V1061,United States
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,61562632.38,0.47105,438574,US8288061091,United States
FANG,DIAMONDBACK ENERGY INC,Energy,61535083.2,0.47084,308292,US25278X1090,United States
URI,UNITED RENTALS INC,Industrials,58831891.92,0.45015,92959,US9113631090,United States
EA,ELECTRONIC ARTS INC,Communication,58772980.38,0.4497,467826,US2855121099,United States
PCG,PG&E CORP,Utilities,58250406.6,0.4457,3521790,US69331C1080,United States
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,58246015.8,0.44567,867660,US1924461023,United States
DVN,DEVON ENERGY CORP,Energy,56980479.89,0.43599,1107923,US25179M1036,United States
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,55969594.8,0.42825,859748,US7445731067,United States
BKR,BAKER HUGHES CLASS A,Energy,55589790.2,0.42534,1726391,US05722G1004,United States
APH,AMPHENOL CORP CLASS A,Information Technology,55552764.96,0.42506,501017,US0320951017,United States
DD,DUPONT DE NEMOURS INC,Materials,54682643.34,0.4184,743678,US26614N1028,United States
ED,CONSOLIDATED EDISON INC,Utilities,54540090.9,0.41731,600001,US2091151041,United States
GPN,GLOBAL PAYMENTS INC,Financials,54468210.54,0.41676,445803,US37940X1028,United States
DFS,DISCOVER FINANCIAL SERVICES,Financials,53565216.53,0.40985,431039,US2547091080,United States
XEL,XCEL ENERGY INC,Utilities,51089848.32,0.39091,950332,US98389B1008,United States
