symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,5508002892.55,13.00225,13624565,US5949181045,United States
AAPL,APPLE INC,Information Technology,4445859467.52,10.49495,26615538,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,3834812246.54,9.0525,4529074,US67066G1040,United States
AMZN,AMAZON COM INC,Consumer Discretionary,3003870755.22,7.09097,16760801,US0231351067,United States
META,META PLATFORMS INC CLASS A,Communication,2024240124.4,4.77844,4033958,US30303M1027,United States
GOOGL,ALPHABET INC CLASS A,Communication,1685766367.02,3.97944,10805502,US02079K3059,United States
GOOG,ALPHABET INC CLASS C,Communication,1424500625.16,3.36269,9046746,US02079K1079,United States
LLY,ELI LILLY,Health Care,1090688554.65,2.57469,1462147,US5324571083,United States
AVGO,BROADCOM INC,Information Technology,1015783347.76,2.39787,806824,US11135F1012,United States
TSLA,TESLA INC,Consumer Discretionary,761735107.65,1.79816,5080605,US88160R1014,United States
V,VISA INC CLASS A,Financials,519387526.02,1.22607,1913946,US92826C8394,United States
MA,MASTERCARD INC CLASS A,Financials,495229684.5,1.16904,1089135,US57636Q1040,United States
NFLX,NETFLIX INC,Communication,484487907.84,1.14369,793514,US64110L1061,United States
CRM,SALESFORCE INC,Information Technology,482641140.96,1.13933,1774938,US79466L3024,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,459468077.48,1.08463,2962781,US0079031078,United States
ADBE,ADOBE INC,Information Technology,392128997.8,0.92566,828710,US00724F1012,United States
ORCL,ORACLE CORP,Information Technology,339122172.0,0.80054,2923467,US68389X1054,United States
UNH,UNITEDHEALTH GROUP INC,Health Care,317865853.14,0.75036,644523,US91324P1021,United States
INTU,INTUIT INC,Information Technology,312256510.42,0.73712,513259,US4612021034,United States
AMAT,APPLIED MATERIAL INC,Information Technology,296464890.96,0.69984,1525653,US0382221051,United States
NOW,SERVICENOW INC,Information Technology,275128124.32,0.64947,376187,US81762P1021,United States
UBER,UBER TECHNOLOGIES INC,Industrials,269031227.7,0.63508,3773229,US90353T1007,United States
PG,PROCTER & GAMBLE,Consumer Staples,264661187.28,0.62476,1682632,US7427181091,United States
COST,COSTCO WHOLESALE CORP,Consumer Staples,242980070.0,0.57358,341624,US22160K1051,United States
MRK,MERCK & CO INC,Health Care,232931682.13,0.54986,1860031,US58933Y1055,United States
HD,HOME DEPOT INC,Consumer Discretionary,224798952.55,0.53066,675295,US4370761029,United States
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,219151644.6,0.51733,63890,US09857L1089,United States
LRCX,LAM RESEARCH CORP,Information Technology,213684812.04,0.50443,240387,US5128071082,United States
LIN,LINDE PLC,Materials,206301553.02,0.487,462114,IE000S9YS762,United States
ABBV,ABBVIE INC,Health Care,197240780.22,0.46561,1197867,US00287Y1091,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,196146256.0,0.46303,620716,IE00B4BNMY34,United States
CAT,CATERPILLAR INC,Industrials,193798335.06,0.45748,541442,US1491231015,United States
COP,CONOCOPHILLIPS,Energy,190511029.8,0.44972,1490580,US20825C1045,United States
QCOM,QUALCOMM INC,Information Technology,171549211.36,0.40496,1062619,US7475251036,United States
KO,COCA-COLA,Consumer Staples,164140167.17,0.38747,2786287,US1912161007,United States
PANW,PALO ALTO NETWORKS INC,Information Technology,162514663.84,0.38363,578056,US6974351057,United States
KLAC,KLA CORP,Information Technology,159780732.84,0.37718,248022,US4824801009,United States
AXP,AMERICAN EXPRESS,Financials,159629775.0,0.37682,733930,US0258161092,United States
ISRG,INTUITIVE SURGICAL INC,Health Care,158991532.62,0.37532,426674,US46120E6023,United States
MCD,MCDONALDS CORP,Consumer Discretionary,158739271.06,0.37472,585797,US5801351017,United States
PEP,PEPSICO INC,Consumer Staples,156297986.95,0.36896,907285,US7134481081,United States
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,146329050.4,0.34543,50320,US1696561059,United States
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,145810216.72,0.3442,269261,US8835561023,United States
SNPS,SYNOPSYS INC,Information Technology,145215289.36,0.3428,279416,US8716071076,United States
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,142636939.5,0.33671,498905,US1273871087,United States
ETN,EATON PLC,Industrials,140108306.22,0.33074,453513,IE00B8KQN827,United States
GE,GE AEROSPACE,Industrials,131056121.28,0.30937,856912,US3696043013,United States
SYK,STRYKER CORP,Health Care,130097849.7,0.30711,397306,US8636671013,United States
TJX,TJX INC,Consumer Discretionary,125860170.66,0.29711,1358301,US8725401090,United States
TDG,TRANSDIGM GROUP INC,Industrials,123570705.0,0.2917,101830,US8936411003,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,119168172.36,0.28131,302857,US92532F1003,United States
ANET,ARISTA NETWORKS INC,Information Technology,118783715.88,0.2804,461852,US0404131064,United States
UNP,UNION PACIFIC CORP,Industrials,115556970.97,0.27279,502837,US9078181081,United States
BX,BLACKSTONE INC,Financials,114268746.24,0.26974,949707,US09260D1072,United States
PGR,PROGRESSIVE CORP,Financials,112444458.0,0.26544,536088,US7433151039,United States
DE,DEERE,Industrials,109017281.0,0.25735,272135,US2441991054,United States
SPGI,S&P GLOBAL INC,Financials,107170306.2,0.25299,259260,US78409V1044,United States
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,106833356.7,0.25219,452109,US5719032022,United States
SBUX,STARBUCKS CORP,Consumer Discretionary,106739664.15,0.25197,1224781,US8552441094,United States
REGN,REGENERON PHARMACEUTICALS INC,Health Care,103878956.03,0.24522,116197,US75886F1075,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,100835286.63,0.23803,616089,US8825081040,United States
ADI,ANALOG DEVICES INC,Information Technology,100605344.14,0.23749,536333,US0326541051,United States
BSX,BOSTON SCIENTIFIC CORP,Health Care,99528168.22,0.23495,1476241,US1011371077,United States
PH,PARKER-HANNIFIN CORP,Industrials,98871885.14,0.2334,183746,US7010941042,United States
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,96050198.4,0.22674,1053182,US7181721090,United States
MMC,MARSH & MCLENNAN INC,Financials,94636989.71,0.2234,469127,US5717481023,United States
EOG,EOG RESOURCES INC,Energy,92997393.84,0.21953,705809,US26875P1012,United States
