symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MO,ALTRIA GROUP INC,Consumer Staples,498619401.7,2.80599,12073109,US02209S1033,United States
VZ,VERIZON COMMUNICATIONS INC,Communication,333486158.98,1.8767,8310146,US92343V1044,United States
T,AT&T INC,Communication,319464002.29,1.79779,19563013,US00206R1023,United States
TFC,TRUIST FINANCIAL CORP,Financials,299820945.74,1.68725,8395994,US89832Q1094,United States
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,296760240.0,1.67002,3253950,US7181721090,United States
D,DOMINION ENERGY INC,Utilities,296667405.66,1.6695,6108038,US25746U1097,United States
KEY,KEYCORP,Financials,296471913.56,1.6684,20616962,US4932671088,United States
OKE,ONEOK INC,Energy,292194623.16,1.64433,3751857,US6826801036,United States
PFE,PFIZER INC,Health Care,289709370.47,1.63035,11410373,US7170811035,United States
CFG,CITIZENS FINANCIAL GROUP INC,Financials,288991658.9,1.62631,8783941,US1746101054,United States
CAG,CONAGRA BRANDS INC,Consumer Staples,281677135.08,1.58514,9277903,US2058871029,United States
RF,REGIONS FINANCIAL CORP,Financials,269606732.0,1.51722,14189828,US7591EP1005,United States
IP,INTERNATIONAL PAPER,Materials,266970490.58,1.50238,7571483,US4601461035,United States
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,261199244.6,1.4699,2627759,NL0009434992,United States
HBAN,HUNTINGTON BANCSHARES INC,Financials,249665932.66,1.405,18942787,US4461501045,United States
ES,EVERSOURCE ENERGY,Utilities,248027171.37,1.39578,4204563,US30040W1080,United States
PRU,PRUDENTIAL FINANCIAL INC,Financials,247439571.1,1.39247,2276353,US7443201022,United States
F,FORD MOTOR CO,Consumer Discretionary,242610043.14,1.36529,20116919,US3453708600,United States
BBY,BEST BUY CO INC,Consumer Discretionary,241418104.0,1.35859,3176554,US0865161014,United States
EIX,EDISON INTERNATIONAL,Utilities,239654224.26,1.34866,3517602,US2810201077,United States
ETR,ENTERGY CORP,Utilities,236170690.0,1.32906,2276344,US29364G1031,United States
USB,US BANCORP,Financials,229278169.04,1.29027,5813341,US9029733048,United States
FE,FIRSTENERGY CORP,Utilities,227259573.97,1.27891,6039319,US3379321074,United States
WEC,WEC ENERGY GROUP INC,Utilities,226118127.04,1.27248,2811016,US92939U1060,United States
TROW,T ROWE PRICE GROUP INC,Financials,223649325.36,1.25859,2057113,US74144T1088,United States
CVX,CHEVRON CORP,Energy,221223868.04,1.24494,1403972,US1667641005,United States
NI,NISOURCE INC,Utilities,220047180.6,1.23832,8030919,US65473P1057,United States
AEP,AMERICAN ELECTRIC POWER INC,Utilities,217481698.56,1.22388,2634226,US0255371017,United States
KMB,KIMBERLY CLARK CORP,Consumer Staples,216822580.77,1.22017,1726157,US4943681035,United States
EXC,EXELON CORP,Utilities,214376810.2,1.20641,5844515,US30161N1019,United States
FITB,FIFTH THIRD BANCORP,Financials,213286963.52,1.20028,6232816,US3167731005,United States
NEE,NEXTERA ENERGY INC,Utilities,213085577.42,1.19914,3328942,US65339F1012,United States
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,211642964.4,1.19103,3251044,US7445731067,United States
XOM,EXXON MOBIL CORP,Energy,211116950.04,1.18806,1781277,US30231G1022,United States
LNT,ALLIANT ENERGY CORP,Utilities,206851954.32,1.16406,4235298,US0188021085,United States
NRG,NRG ENERGY INC,Utilities,205383576.32,1.1558,2912416,US6293775085,United States
GIS,GENERAL MILLS INC,Consumer Staples,200669210.49,1.12927,2904461,US3703341046,United States
PPL,PPL CORP,Utilities,198960382.28,1.11965,7474094,US69351T1060,United States
GILD,GILEAD SCIENCES INC,Health Care,198626742.88,1.11778,3002218,US3755581036,United States
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Communication,197562442.17,1.11179,6500903,US4606901001,United States
NEM,NEWMONT,Materials,195827176.65,1.10202,5079823,US6516391066,United States
WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,191841412.43,1.07959,10906277,US9314271084,United States
DTE,DTE ENERGY,Utilities,189106456.88,1.0642,1775981,US2333311072,United States
HPQ,HP INC,Information Technology,188163956.76,1.0589,6812598,US40434L1052,United States
CMS,CMS ENERGY CORP,Utilities,187127871.28,1.05307,3199861,US1258961002,United States
PNW,PINNACLE WEST CORP,Utilities,183018465.01,1.02994,2508133,US7234841010,United States
VLO,VALERO ENERGY CORP,Energy,181599798.94,1.02196,1117606,US91913Y1001,United States
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,178751541.54,1.00593,3756863,US31620R3030,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,175786722.54,0.98924,968682,US4592001014,United States
FHN,FIRST HORIZON CORP,Financials,171730594.56,0.96642,12025952,US3205171057,United States
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,171439768.08,0.96478,2171223,US74251V1026,United States
OMC,OMNICOM GROUP INC,Communication,168564319.5,0.9486,1842233,US6819191064,United States
