symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NVDA,NVIDIA CORP,Information Technology,1054165803.94,9.00274,1245014,US67066G1040,United States
AVGO,BROADCOM INC,Information Technology,954095355.74,8.14812,757826,US11135F1012,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,793537226.32,6.77693,5116954,US0079031078,United States
QCOM,QUALCOMM INC,Information Technology,786749265.12,6.71896,4873323,US7475251036,United States
INTC,INTEL CORPORATION CORP,Information Technology,626231726.4,5.34812,17871910,US4581401001,United States
MU,MICRON TECHNOLOGY INC,Information Technology,608986281.54,5.20084,5440778,US5951121038,United States
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,493584199.29,4.21529,5861349,US5950171042,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,482299646.27,4.11891,2946781,US8825081040,United States
ADI,ANALOG DEVICES INC,Information Technology,482235728.66,4.11837,2570827,US0326541051,United States
AMAT,APPLIED MATERIAL INC,Information Technology,474986092.0,4.05646,2444350,US0382221051,United States
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,467444031.78,3.99204,3534014,US8740391003,Taiwan
LRCX,LAM RESEARCH CORP,Information Technology,466954120.6,3.98786,525305,US5128071082,United States
KLAC,KLA CORP,Information Technology,465416094.78,3.97473,722449,US4824801009,United States
MRVL,MARVELL TECHNOLOGY INC,Information Technology,448733963.72,3.83226,6878203,US5738741041,United States
NXPI,NXP SEMICONDUCTORS NV,Information Technology,432985713.15,3.69777,1973949,NL0009538784,United States
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,424729637.35,3.62726,477745,USN070592100,Netherlands
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,378350020.47,3.23117,609937,US6098391054,United States
ON,ON SEMICONDUCTOR CORP,Information Technology,356520223.78,3.04474,5665346,US6821891057,United States
ENTG,ENTEGRIS INC,Information Technology,253653211.95,2.16624,1995855,US29362U1043,United States
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,208097042.1,1.77718,2131705,US83088M1027,United States
TER,TERADYNE INC,Information Technology,203915216.4,1.74147,2035082,US8807701029,United States
STM,STMICROELECTRONICS ADR NV,Information Technology,141194558.59,1.20582,3564619,US8610121027,France
QRVO,QORVO INC,Information Technology,138074022.4,1.17917,1280360,US74736K1016,United States
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,124641782.95,1.06446,1814555,US5184151042,United States
MKSI,MKS INSTRUMENTS INC,Information Technology,99679171.02,0.85128,889278,US55306N1046,United States
ASX,ASE TECHNOLOGY HOLDING ADR REPRESE,Information Technology,89590024.35,0.76511,8656041,US00215W1009,Taiwan
RMBS,RAMBUS INC,Information Technology,80723572.08,0.68939,1429748,US7509171069,United States
UMC,UNITED MICRO ELECTRONICS ADR REP,Information Technology,74508167.79,0.63631,9894843,US9108734057,Taiwan
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,42061316.25,0.35921,428105,US0545402085,United States
WOLF,WOLFSPEED INC,Information Technology,39023266.36,0.33326,1645163,US9778521024,United States
