symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MSFT,MICROSOFT CORP,Information Technology,2926863053.44,18.46712,7239872,US5949181045,United States
AAPL,APPLE INC,Information Technology,2384186808.96,15.04309,14273149,US0378331005,United States
NVDA,NVIDIA CORP,Information Technology,1980454690.0,12.49573,2339000,US67066G1040,United States
META,META PLATFORMS INC CLASS A,Communication,656663007.0,4.14323,1308615,US30303M1027,United States
AVGO,BROADCOM INC,Information Technology,480499828.45,3.03173,381655,US11135F1012,United States
GOOGL,ALPHABET INC CLASS A,Communication,474353397.32,2.99294,3040532,US02079K3059,United States
GOOG,ALPHABET INC CLASS C,Communication,404384678.04,2.55148,2568174,US02079K1079,United States
CRM,SALESFORCE INC,Information Technology,384490801.2,2.42595,1413985,US79466L3024,United States
AMD,ADVANCED MICRO DEVICES INC,Information Technology,332458798.12,2.09766,2143789,US0079031078,United States
ADBE,ADOBE INC,Information Technology,322780683.36,2.03659,682152,US00724F1012,United States
QCOM,QUALCOMM INC,Information Technology,272117936.48,1.71693,1685567,US7475251036,United States
ORCL,ORACLE CORP,Information Technology,270390548.0,1.70604,2330953,US68389X1054,United States
INTU,INTUIT INC,Information Technology,251096069.02,1.5843,412729,US4612021034,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,249123286.29,1.57185,1372807,US4592001014,United States
AMAT,APPLIED MATERIAL INC,Information Technology,245306070.24,1.54776,1262382,US0382221051,United States
NOW,SERVICENOW INC,Information Technology,224981694.56,1.41953,307621,US81762P1021,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,224467021.87,1.41628,1371461,US8825081040,United States
INTC,INTEL CORPORATION CORP,Information Technology,223397274.72,1.40953,6375493,US4581401001,United States
MU,MICRON TECHNOLOGY INC,Information Technology,184813107.57,1.16608,1651149,US5951121038,United States
LRCX,LAM RESEARCH CORP,Information Technology,176759964.16,1.11527,198848,US5128071082,United States
ADI,ANALOG DEVICES INC,Information Technology,141134066.52,0.89049,752394,US0326541051,United States
KLAC,KLA CORP,Information Technology,131607703.8,0.83038,204290,US4824801009,United States
PANW,PALO ALTO NETWORKS INC,Information Technology,129652490.38,0.81805,461167,US6974351057,United States
SNPS,SYNOPSYS INC,Information Technology,119263050.8,0.75249,229480,US8716071076,United States
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,116741261.1,0.73658,408329,US1273871087,United States
APH,AMPHENOL CORP CLASS A,Information Technology,97682397.12,0.61633,880974,US0320951017,United States
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,94827545.3,0.59832,322433,US22788C1053,United States
ROP,ROPER TECHNOLOGIES INC,Information Technology,84252473.3,0.53159,159790,US7766961061,United States
MRVL,MARVELL TECHNOLOGY INC,Information Technology,84199657.36,0.53126,1290614,US5738741041,United States
